frame;text
1;O,ATTACKHIS,ATTACKHI3,oo
2;O,ATTACKHIS,ATTACKHI3
3;O,ATTACKHIS,ATTACKHI3
4;O,ATTACKHIS,ATTACKHI3,_oo
5;O,ATTACKHIS,ATTACKHI3
6;O,ATTACKHIS,ATTACKHI3,_oo
7;O,ATTACKHIS,ATTACKHI3,_oo
8;O,ATTACKHIS,ATTACKHI3
9;O,ATTACKHIS,ATTACKHI3,_oo
10;O,ATTACKHIS,ATTACKHI3,10,00
11;O,ATTACKHIS,ATTACKHI3,oo
12;O,ATTACKHIS,ATTACKHI3,12,00
13;O,ATTACKHIS,ATTACKHI3,13,00
14;O,ATTACKHIS,ATTACKHI3,14,00
15;O,ATTACKHIS,ATTACKHI3,15,00
16;O,ATTACKHIS,ATTACKHI3,1b,00
17;O,ATTACKHIS,ATTACKHI3,17,00
18;O,ATTACKHIS,ATTACKHI3,16,00
19;O,ATTACKHIS,ATTACKHI3,19,00
20;O,ATTACKHI35,ATTACKHI3,20,00
21;O,ATTACKHIS,ATTACKHI3,el,_oo
22;O,ATTACKHI35,ATTACKHI3,e2_.oo
