frame;text
1;Oo,384,323,oo
2;Oo,384,323
3;Oo,384,323,_oo
4;Oo,384,323,_oo
5;Oo,384,323
6;Oo,384,_oo
7;Oo,384
8;Oo,384,323,68,00
9;Oo,384,_oo
10;Oo,384,323,10,00
11;Oo,4,38,323,11,00
12;Oo,384
13;Oo,384,323,13,00
14;Oo,384
15;Oo,384
16;Oo,384
17;Oo,4,38,323,17,00
18;Oo,384,323,16,00
19;Oo,4,38,323,19,00
20;Oo,384,323,20,00
21;Oo,384,323,21,00
22;
23;Oo,384,323,23,00
24;Oo,384,323,e+,oo
25;
26;Oo,384,323,2b_00
27;
28;Oo,384,323,28,00
29;Oo,384
30;Oo,384,323,30,00
31;
32;Oo,384,323,32,00
33;Oo,384,323,33,00
34;Oo,384,323,34,O00
35;Oo,384,323,35,00
36;Oo,384,323,3b,_00
37;Oo,384,323,37,00
38;Oo,384,323,38,00
39;Oo,384,323,39,00
40;Oo,384,323,40,00
41;Oo,384,323,4!,oo
42;Oo,384,323,42,00
43;
44;
45;Oo,384,323,4+S_00
46;Oo,384,323,+b_OO
47;Oo,4,38,323,47,00
48;Oo,384,323,46,00
49;Oo,4,38,323,49,00
50;Oo,384,323,so_.o00
51;Oo,384,323,si,_oo
52;Oo,384,323,se_oo
53;Oo,384,323,$3,000
54;Oo,384,323,s+,oo
55;Oo,384,323,ss_oo
56;Oo,384,323,Sb_oOo
57;Oo,384,323,s7_o00
58;Oo,384,323,s6_.o00
59;Oo,384,323,s9,o00
60;Oo,384,323,bO_oOO0
61;Oo,384,323,BI,_oo
62;Oo,384,323,be,_oo
63;Oo,384,323,63,00
64;Oo,384,323,bY,OO
65;Oo,384,323,bS_oOo
66;Oo,384,323,bb,_OO
67;Oo,384,323,b7?_OO0
68;Oo,384,323,be,oOo
