frame;text
1;O,ATTACKAIRLW,ATTACKAIRLW,oo
2;O,ATTACKAIRLW,ATTACKAIRLW
3;O,ATTACKAIRLW,ATTACKAIRLW
4;O,ATTACKAIRLW,ATTACKAIRLW,_oo
5;O,ATTACKAIRLW,ATTACKAIRLW
6;O,ATTACKAIRLW,ATTACKAIRLW,_oo
7;O,ATTACKAIRLW,ATTACKAIRLW,_oo
8;O,ATTACKAIRLW,ATTACKAIRLW
9;O,ATTACKAIRLW,ATTACKAIRLW,_oo
10;oo"o1,MAMIVADVLIV,MIMIVADVLLIV,O
11;oo,MIMIVADVLLIV,AMAWIVvASvLiLlvy,O
12;oo"?!,MAMIVADVLIV,MIMIVADVLLIV,O
13;oo"e!,MAMIVADVLIV,MIMIVADVLLIV,O
14;oo"!,MAMIVADVLLIV,MAMIVADVLIVv,O
15;oo"s!,MAMIVADVLIV,MIMIVADVLLIV,O
16;oo"41,MAMIVADVLLIV,MAMIVADVLIVv,O
17;oo".21,MAMIVADVLIV,MIMIVADVLLIV,O
18;oo"s!,MAMIVADVLIV,MIMIVADVLLIV,O
19;oop!,MAMIVADVLIV,MIMIVADVLLIV,O
20;oo"oe,MAMIVADVLIV,MIMIVADVLLIV,O
21;oo,le,MIMIVADVLLIV,AMAWIVvASvLiLlvy,O
22;oo"ze,MAMIVADVLIV,MIMIVADVLLIV,O
23;oo"cea,MAMIVADVLIV,MIMIVADVLLIV,O
24;00",2,MAMIVADVLLIV,MAMIVADVLIVv,O
25;oo"sa,MAMIVADVLIV,MIMIVADVLLIV,O
26;oo,"92,MAMIVADVLLIV,MAMIVADVLIVv,O
27;oo"2ea,MAMIVADVLIV,MIMIVADVLLIV,O
28;oo"B2,MAMIVADVLIV,MIMIVADVLLIV,O
29;00,"be,MAMIVADVLIV,MIMIVADVLLIV,O
30;00,"OE,MAMIVADVLIV,MIMIVADVLLIV,O
31;oo,MIMIVADVLLIV,AMAWIVvASvLiLlvy,O
32;00,"2e,MAMIVADVLIV,MIMIVADVLLIV,O
33;00,"cE,MAMIVADVLIV,MIMIVADVLLIV,O
34;00",hE,MAMIVADVLLIV,MAMIVADVLIVv,O
35;00,"se,MAMIVADVLIV,MIMIVADVLLIV,O
36;00,"Se,MAMIVADVLLIV,MAMIVADVLIVv,O
37;oo,"ze,MAMIVADVLIV,MIMIVADVLLIV,O
38;00,"BE,MAMIVADVLIV,MIMIVADVLLIV,O
39;00,"bE,MAMIVADVLIV,MIMIVADVLLIV,O
40;oo"On,MAMIVADVLIV,MIMIVADVLLIV,O
41;oo,lh,MIMIVADVLLIV,AMAWIVvASvLiLlvy,O
42;oo"21,MAMIVADVLIV,MIMIVADVLLIV,O
43;OO"En,MAMIVADVLIV,MIMIVADVLLIV,O
44;OO",nh,MAMIVADVLLIV,MAMIVADVLIVv,O
45;oo"Ssh,MAMIVADVLIV,MIMIVADVLLIV,O
46;oo"4n,MAMIVADVLLIV,MAMIVADVLIVv,O
47;oo"2h,MAMIVADVLIV,MIMIVADVLLIV,O
48;oo"Bh,MAMIVADVLIV,MIMIVADVLLIV,O
49;OO"br,MAMIVADVLIV,MIMIVADVLLIV,O
50;oo"os,MAMIVADVLIV,MIMIVADVLLIV,O
51;oo,is,MIMIVADVLLIV,AMAWIVvASvLiLlvy,O
52;oo"es,MAMIVADVLIV,MIMIVADVLLIV,O
53;oo"es,MAMIVADVLIV,MIMIVADVLLIV,O
54;o00"S,MAMIVADVLLIV,MAMIVADVLIVv,O
55;O,ATTACKAIRLW,ATTACKAIRLW,ss_oo
56;O,ATTACKAIRLW,ATTACKAIRLW,Sb_oOo
57;O,ATTACKAIRLW,ATTACKAIRLW,s7_o00
58;O,ATTACKAIRLW,ATTACKAIRLW,s6_.o00
