frame;text
1;oO,35!,ATTACKDASH,oo
2;oO,35!,ATTACKDASH
3;oO,35!,ATTACKDASH
4;oO,35!,ATTACKDASH,_oo
5;oO,35!,ATTACKDASH
6;oO,35!,ATTACKDASH,_oo
7;oO,35!,ATTACKDASH,_oo
8;oO,35!,ATTACKDASH
9;oO,35!,ATTACKDASH,_oo
10;oO,35!,ATTACKDASH,10,00
11;oO,35!,ATTACKDASH,oo
12;oO,35!,ATTACKDASH,12,00,>»
13;oO,35!,ATTACKDASH,13,00
14;oO,as!,ATTACKDASH,14,00
15;oO,35!,ATTACKDASH,1S_,00
16;oO,35!,ATTACKDASH,1b,,00
17;oO,35!,ATTACKDASH,17,00
18;oO,35!,ATTACKDASH,18,00
19;oO,35!,ATTACKDASH,19,00
20;oO,35!,ATTACKDASH,20,00
21;oO,35!,ATTACKDASH,el,_oo
22;oO,35!,ATTACKDASH,e2_.oo
23;oO,35!,ATTACKDASH,23,00
24;oO,3s!,ATTACKDASH,24,00
25;oO,35!,ATTACKDASH,25,00
26;oO,35!,ATTACKDASH,2b_00
27;oO,3s!,ATTACKDASH,27,00
28;oO,35!,ATTACKDASH,28,00
29;oO,3s!,ATTACKDASH,29_00
30;oO,35!,ATTACKDASH,30,00
31;oO,35!,ATTACKDASH,_oo
32;oO,35!,ATTACKDASH,32,00
33;oO,35!,ATTACKDASH,33,00
34;oO,3s!,ATTACKDASH,34,oo
35;oO,35!,ATTACKDASH,35,00
36;oO,35!,ATTACKDASH,3b,_00
37;oO,3s!,ATTACKDASH,37,00
38;oO,35!,ATTACKDASH,38,00
39;oO,3s!,ATTACKDASH,39,00
40;oO,3s!,ATTACKDASH,40_00
41;oO,35!,ATTACKDASH,4!,oo
42;oO,3s!,ATTACKDASH,42_00
43;oO,3s!,ATTACKDASH,43,00
44;oO,35!,ATTACKDASH,4400
45;oO,3s!,ATTACKDASH,4S_00
46;Oo,35!,ATTACKDASH,4b_00
47;oO,35!,ATTACKDASH,47,00
48;oO,3s!,ATTACKDASH,48,00
49;oO,35!,ATTACKDASH,#900
50;oO,3s!,ATTACK,DASH,so_oo
51;oO,35!,ATTACKDASH,si,_oo
52;oO,3s!,ATTACK,DASH,s2_o00
53;oO,35!,ATTACKDASH,$3,000
54;oO,3s!,ATTACKDASH,s4¥_o00
55;oO,35!,ATTACKDASH,ss_oo
56;oO,35!,ATTACKDASH,Sb_oOo
57;oO,3s!,ATTACKDASH,s?7_00
58;oO,35!,ATTACKDASH,s6_.o00
59;oO,3s!,ATTACKDASH,s9_o00
60;O,WALKSLOW,WALKSLOW,oo
61;O,WALKSLOW,WALKSLOW
62;O,WALKSLOW,WALKSLOW,_oO
