frame;text
1;oO,393,332,oo
2;oO,393,332
3;oO,393,332
4;332,oO,393
5;oO,393,332
6;oO,393
7;oO,393,332,/,7,00
8;
9;oO,393
10;oO,393,332,10,00
11;
12;
13;/,nr,o,393,332,50,—,13,00
14;oO,393
15;oO,393
16;
17;oO,393
18;
19;
20;oO,393
21;oO,393,332,21,00
22;4,0,393,332,ee,a
23;oO,393
24;m,T,m,Qo
25;m,T,m,Qo
26;oO,393
27;oO,393
28;
29;333,Oo,3094
30;Oo,3094
31;o,394,3,o_oo0
32;Oo,3094
33;o,394,333,o_oo0
34;o,394,333,o_oo0
35;o,394,333,o_oo0
36;o,394,333,o_oo0
37;Oo,3094,333
38;Oo,3094
39;Oo,3094
40;o,394
41;Oo,3094
42;Oo,3094
43;Oo,3094
44;Oo,3094
45;Oo,3094
46;Oo,3094
47;Oo,3094
48;Oo,3094
49;Oo,3094
50;Oo,3094
51;Oo,3094
52;Oo,3094
53;Oo,3094
54;Oo,3094
55;Oo,3094
56;Oo,3094
57;Oo,3094
58;Oo,3094
59;Oo,3094
60;Oo,3094
61;Oo,3094
62;Oo,3094
63;Oo,3094
64;Oo,3094
65;Oo,3094
66;Oo,3094
67;Oo,3094
68;Oo,3094
69;Oo,3094
70;Oo,3094
71;Oo,3094
72;Oo,3094
73;Oo,3094
74;Oo,3094
75;Oo,3094
76;Oo,3094
77;Oo,3094
