frame;text
1;O,ATTACKLW4,ATTACKLW4,oo,LR
2;O,ATTACKLW4,ATTACKLW4,oo,LR
3;O,ATTACKLW4,ATTACKLW4,LR
4;O,ATTACKLW4,ATTACKLW4,LR
5;O,ATTACKLW4,ATTACKLW4,_oo,LR
6;O,ATTACKLW4,ATTACKLW4,LR
7;O,ATTACKLW4,ATTACKLW4,_oo,LR
8;O,ATTACKLW4,ATTACKLW4,_oo
9;O,ATTACKLW4,ATTACKLW4,68,00
10;O,ATTACKLW4,ATTACKLW4,94,00
11;O,ATTACKLW4,ATTACKLW4,10,00
12;O,ATTACKLW4,ATTACKLW4
13;O,ATTACKLW4,ATTACKLW4,12,00
14;O,ATTACKLW4,ATTACKLW4,13,00
15;O,ATTACKLW4,ATTACKLW4,14,00
16;O,ATTACKLW4,ATTACKLW4,15,00
17;O,ATTACKLW4,ATTACKLW4,1b,00
18;O,ATTACKLWY4,ATTACKLW4,17,00
19;O,ATTACKLW4,ATTACKLW4,16,00
20;O,ATTACKLWY4,ATTACKLW4,19,00
21;O,ATTACKLW4,ATTACKLW4,20,00
22;O,ATTACKLW4,ATTACKLW4,el,_oo
23;O,ATTACKLW4,ATTACKLW4,e2_.oo
24;O,ATTACKLW4,ATTACKLW4,23,00
25;O,ATTACKLW4,ATTACKLW4,e4,oo
26;O,ATTACKLW4,ATTACKLW4,25,00
27;O,ATTACKLUY,ATTACKLW4,2b_00
28;O,ATTACKLWY4,ATTACKLW4,27,00
29;O,ATTACKLW4,ATTACKLW4,28,00
30;O,ATTACKLWY4,ATTACKLW4,29,00
31;O,ATTACKLW4,ATTACKLW4,30,00
32;O,ATTACKLW4,ATTACKLW4,_oo
33;O,ATTACKLW4,ATTACKLW4,32,00
34;O,ATTACKLW4,ATTACKLW4,33,00
35;O,ATTACKLW4,ATTACKLW4,34,_o00
36;O,ATTACKLW4,ATTACKLW4,35,00
37;O,ATTACKLUY,ATTACKLW4,3b,,00
38;O,ATTACKLWY4,ATTACKLW4,37,00
39;O,ATTACKLW4,ATTACKLW4,38,00
40;O,ATTACKLWY4,ATTACKLW4,3900
41;O,ATTACKLW4,ATTACKLW4,40,00
42;O,ATTACKLW4,ATTACKLW4,4!
43;O,ATTACKLW4,ATTACKLW4,42,00
44;O,ATTACKLW4,ATTACKLW4,43,00
45;O,ATTACKLW4,ATTACKLW4,44,_00
46;O,ATTACKLW4,ATTACKLW4,4+S_00
47;O,ATTACKLW4,ATTACKLW4,+b_OO
48;O,ATTACKLWY,ATTACKLWY,47,00
49;O,ATTACKLW4,ATTACKLW4,46,00
50;O,ATTACKLWY,ATTACKLWY,4900
51;O,ATTACKLW4,ATTACKLW4,so_.o00
52;O,ATTACKLW4,ATTACKLW4,si,_oo
53;O,ATTACKLW4,ATTACKLW4,se_oo
54;O,ATTACKLW4,ATTACKLW4,$3,000
