frame;text
1;O,ATTACKLWS3,ATTACKLW3,oo
2;O,ATTACKLWS3,ATTACKLW3
3;O,ATTACKLWS3,ATTACKLW3
4;O,ATTACKLWS3,ATTACKLW3,400
5;O,ATTACKLWS3,ATTACKLW3,s_,oo
6;O,ATTACKLWS3,ATTACKLW3,_oo
7;O,ATTACKLWS3,ATTACKLW3,_oo
8;O,ATTACKLWS3,ATTACKLW3
9;O,ATTACKLWS3,ATTACKLW3,_oo
10;O,ATTACKLWS3,ATTACKLW3,10,00
11;O,ATTACKLWS3,ATTACKLW3
12;O,ATTACKLWS3,ATTACKLW3,12,00
13;O,ATTACKLWS3,ATTACKLW3,13,00
14;O,ATTACKLWS3,ATTACKLW3,14,00
15;O,ATTACKLWS3,ATTACKLW3,15,00
16;O,ATTACKLWS3,ATTACKLW3,1b,00
17;O,ATTACKLWS3,ATTACKLW3,17,00
18;O,ATTACKLWS3,ATTACKLW3,16,00
19;O,ATTACKLWS3,ATTACKLW3,19,00
20;O,ATTACKLWA,ATTACKLW3,20_00
21;O,ATTACKLWS3,ATTACKLW3,el,_oo
22;O,ATTACKLWA,ATTACKLW3,22_00
23;O,ATTACKLWA,ATTACKLW3,23_00
24;O,ATTACKLWS3,ATTACKLW3,e4,oo
25;O,ATTACKLWA,ATTACKLW3,2s_o0
26;O,ATTACKLWS3,ATTACKLW3,2b_00
27;O,ATTACKLWS3,ATTACKLW3,e7,00
28;O,ATTACKLWA,ATTACKLW3,28_00
