frame;text
1;O,ATTACKAIRN,ATTACKAIRN,oo
2;O,ATTACKAIRN,ATTACKAIRN
3;O,ATTACKAIRN,ATTACKAIRN
4;O,ATTACKAIRN,ATTACKAIRN,_oo
5;O,ATTACKAIRN,ATTACKAIRN
6;O,ATTACKAIRN,ATTACKAIRN,_oo
7;O,ATTACKAIRN,ATTACKAIRN,_oo
8;O,ATTACKAIRN,ATTACKAIRN
9;O,ATTACKAIRN,ATTACKAIRN,_oo
10;O,ATTACKAIRN,ATTACKAIRN,10,00
11;O,ATTACKAIRN,ATTACKAIRN,oo
12;O,ATTACKAIRN,ATTACKAIRN,12,00
13;O,ATTACKAIRN,ATTACKAIRN,13,00
14;O,ATTACKAIRN,ATTACKAIRN,14,00
15;O,ATTACKAIRN,ATTACKAIRN,1S_.o00
16;O,ATTACKAIRN,ATTACKAIRN,1b,00
17;O,ATTACKAIRN,ATTACKAIRN,17,00
18;O,ATTACKAIRN,ATTACKAIRN,18,00
19;O,ATTACKAIRN,ATTACKAIRN,19,00
20;oo"oe,NY,LVAIDVLLV,NMYIVaADVLIV,Oo
21;O,ATTACKAIRN,ATTACKAIRN,el,_oo
22;oo"ze,NY,LVAIDVLLV,NMYIVaADVLIV,Oo
23;O,ATTACKAIRN,ATTACKAIRN,23,00
24;O,ATTACKAIRN,ATTACKAIRN,e4,oo
25;oo"sa,NY,LVAIDVLLV,NMYIVaADVLIV,Oo
26;oo,"92,NYIVADVLLIV,NMYIVaOVLLvY,O
27;oo"2ea,NY,LVAIDVLLV,NMYIVaADVLIV,Oo
28;oo"B2,NY,LVAIDVLLV,NMYIVaADVLIV,Oo
29;00,"be,NY,LVAIDVLLV,NMYIVaADVLIV,Oo
30;00,"OE,NY,LVAIDVLLV,NMYIVaADVLIV,Oo
31;O,ATTACKAIRN,ATTACKAIRN,_oo
32;O,ATTACKAIRN,ATTACKAIRN,32,00
33;O,ATTACKAIRN,ATTACKAIRN,33,00
34;00",hE,NYIVADVLLIV,NMYIVaOVLLvY,O
35;00,"se,NY,LVAIDVLLV,NMYIVaADVLIV,Oo
36;00,"Se,NYIVADVLLIV,NMYIVaOVLLvY,O
37;oo,"ze,NY,LVAIDVLLV,NMYIVaADVLIV,Oo
38;00,"BE,NY,LVAIDVLLV,NMYIVaADVLIV,Oo
39;00,"bE,NY,LVAIDVLLV,NMYIVaADVLIV,Oo
40;oo"On,NY,LVAIDVLLV,NMYIVaADVLIV,Oo
41;O,ATTACKAIRN,ATTACKAIRN,4!,oo
42;oo"21,NY,LVAIDVLLV,NMYIVaADVLIV,Oo
43;OO"En,NY,LVAIDVLLV,NMYIVaADVLIV,Oo
44;OO",HH,NMIVADVLIV,NMYIvaASVvLiv,O
45;oo"Ssh,NY,LVAIDVLLV,NMYIVaADVLIV,Oo
46;oo"4n,NYIVADVLLIV,NMYIVaOVLLvY,O
47;oo"2h,NMIVADVLIV,NMYIvaASVvLiv,O
48;oo"Bh,NY,LVAIDVLLV,NMYIVaADVLIV,Oo
49;00,"br,NMIVADVLIV,NMYIvaASVvLiv,O
50;O,ATTACKAIRN,ATTACKAIRN,so_.o00
51;O,ATTACKAIRN,ATTACKAIRN,si,_oo
52;O,ATTACKAIRN,ATTACKAIRN,se_oo
53;O,ATTACKAIRN,ATTACKAIRN,$3,000
54;O,ATTACKAIRN,ATTACKAIRN,s4¥_o0o
55;O,ATTACKAIRN,ATTACKAIRN,ss_oo
56;O,ATTACKAIRN,ATTACKAIRN,Sb_oOo
57;O,ATTACKAIRN,ATTACKAIRN,s7_o00
58;O,ATTACKAIRN,ATTACKAIRN,s6_.o00
59;O,ATTACKAIRN,ATTACKAIRN,$900
60;O,ATTACKAIRN,ATTACKAIRN,bO_oOO0
61;O,ATTACKAIRN,ATTACKAIRN,BI,_oo
62;O,ATTACKAIRN,ATTACKAIRN,be,_oo
63;O,ATTACKAIRN,ATTACKAIRN,63,00
64;O,ATTACKAIRN,ATTACKAIRN,bY,OO
65;O,ATTACKAIRN,ATTACKAIRN,bS_oOo
66;O,ATTACKAIRN,ATTACKAIRN,bb,_OO
67;O,ATTACKAIRN,ATTACKAIRN,b7_oOO0
68;O,ATTACKAIRN,ATTACKAIRN,be,oOo
69;O,ATTACKAIRN,ATTACKAIRN,69,00
70;O,ATTACKAIRN,ATTACKAIRN,70,00
71;O,ATTACKAIRN,ATTACKAIRN,a,|,_oo
72;O,ATTACKAIRN,ATTACKAIRN,72,00
73;O,ATTACKAIRN,ATTACKAIRN,73,00
74;O,ATTACKAIRN,ATTACKAIRN,74,oO
75;O,ATTACKAIRN,ATTACKAIRN,75,00
76;O,ATTACKAIRN,ATTACKAIRN,7b_,O00
77;O,ATTACKAIRN,ATTACKAIRN,77,00
78;O,ATTACKAIRN,ATTACKAIRN,78,00
