frame;text
1;Oo,353,30S,oo
2;Oo,353,30S
3;Oo,353,30S
4;Oo,353,30S,_oo
5;Oo,353,30S
6;Oo,353,30S,_oo
7;Oo,353,30S,_oo
8;Oo,353,30S
9;Oo,353,30S,_oo
10;Oo,353,30S,10,00
11;Oo,353,30S,oo
12;Oo,353,30S,12,00
13;Oo,353,30S,13,00
14;Oo,353,30S,14,00
15;Oo,353,30S,15,00
16;Oo,353,30S,1b,00
17;Oo,353,30S,17,00
18;Oo,353,30S,16,00
19;Oo,353,30S,19,00
20;Oo,3S4,306,o,o0o
21;Oo,3S4,306,1.00
22;Oo,3S4,306,2,00
23;Oo,3S4,306,3,00
24;oO,3s4,30b,4_o0
25;Oo,3S4,306,s_,oo
26;oO,3s4,30b,b_oo
27;oO,3s4,30b,7,00
28;Oo,3S4,306,68,00
29;oO,3s4,30b,9_o00
30;Oo,3S4,306,10,00
31;Oo,4,35,30b,11,00
32;Oo,3S4,306,12,00
33;Oo,3S4,306,13,00
34;o,3s4,as,30b,14,00
35;Oo,3S4,306,15,00
36;oO,3s4,30b,1b,,00
37;o,3s4,as,30b,17,00
38;Oo,3S4,306,o,o0o
39;Oo,3S4,306,1.00
40;Oo,3S4,306,2,00
41;Oo,3S4,306,3,00
42;oO,3s4,30b,4_o0
43;Oo,3S4,306,s_,oo
44;oO,3s4,30b,b_oo
45;oO,3s4,30b,7,00
46;Oo,3S4,306,68,00
47;oO,3s4,30b,9_o00
48;Oo,3S4,306,10,00
49;Oo,4,35,30b,11,00
50;Oo,3S4,306,12,00
51;Oo,3S4,306,13,00
52;o,3s4,as,30b,14,00
53;Oo,3S4,306,15,00
54;oO,3s4,30b,1b,,00
55;o,3s4,as,30b,17,00
56;Oo,3S4,306,o,o0o
57;Oo,3S4,306,1.00
58;Oo,3S4,306,2,00
59;Oo,3S4,306,3,00
60;Oo,355,307
61;Oo,355,307,oo
62;Oo,355,307
63;Oo,355,307
64;Oo,355,307,_oo
65;Oo,355,307
66;Oo,355,307,_oo
67;Oo,355,307,_oo
68;Oo,355,307
69;Oo,355,307,ST,*,_oo
70;o,35s,307,10,00,o®
71;Oo,355,307,oo
72;o,35s,307,12,00
73;o,35s,307,13,00
74;o,35s,307,14,00
75;o,35s,307,1S_o00
76;o,35s,307,1b,,00
77;o,35s,307,17,00
78;o,35s,307,18,00
