frame;text
1;O,EXCAPEF,ESCAPEF,oo
2;O,EXCAPEF,ESCAPEF,oo
3;O,EXCAPEF,ESCAPEF
4;O,EXCAPEF,ESCAPEF
5;O,EXCAPEF,ESCAPEF,_oo
6;O,EXCAPEF,ESCAPEF
7;O,EXCAPEF,ESCAPEF,_oo
8;O,EXCAPEF,ESCAPEF,_oo
9;O,EXCAPEF,ESCAPEF
10;O,EXCAPEF,ESCAPEF,_oo
11;O,EXCAPEF,ESCAPEF,10,00
12;O,EXCAPEF,ESCAPEF,oo
13;O,EXCAPEF,ESCAPEF,12,00
14;O,EXCAPEF,ESCAPEF,13,00
15;O,EXCAPEF,ESCAPEF,14,00
16;O,EXCAPEF,ESCAPEF,15,00
17;O,EXCAPEF,ESCAPEF,1b,00
18;O,EXCAPEF,ESCAPEF,17,00
19;O,EXCAPEF,ESCAPEF,16,00,“
20;O,EXCAPEF,ESCAPEF,19,00,ed
21;O,EXCAPEF,ESCAPEF,20,00
22;O,EXCAPEF,ESCAPEF,el,_oo
23;O,EXCAPEF,ESCAPEF,e2_.oo
24;O,EXCAPEF,ESCAPEF,23,00
25;O,EXCAPEF,ESCAPEF,e4,oo
26;O,EXCAPEF,ESCAPEF,25,00
27;O,EXCAPEF,ESCAPEF,2b_00
28;O,EXCAPEF,ESCAPEF,27,00
29;O,EXCAPEF,ESCAPEF,28,00
30;O,EXCAPEF,ESCAPEF,29,00
