frame;text
1;Oo,383,322,oo
2;Oo,383,322
3;Oo,383,322
4;
5;Oo,383,322
6;Oo,383,3ee,_oo
7;
8;
9;
10;Oo,383,see,10,00,\\
11;Oo,383,322,oo
12;Oo,383,322,12,00
13;Oo,383,322,13,00
14;Oo,383,322,14,00
15;Oo,383,322,15,00
16;Oo,383,322,1b,00
17;Oo,383,322,17,00
18;Oo,383,322,16,00
19;Oo,383,322,19,00
20;Oo,383,322,20,00
21;Oo,383,322,21,00
22;Oo,383,322,e2_.oo
23;Oo,383,322,23,00
24;Oo,383,322,e+,oo
25;Oo,383,322,25,00
26;Oo,383,322,2b_00
27;Oo,383,322,27,00
28;Oo,383,322,28,00
29;Oo,383,322,29,00
30;Oo,383,322,30,00
31;Oo,383,322,31,00
32;Oo,383,322,32,00
33;Oo,383,322,33,00
34;Oo,383,322,34,O00
35;Oo,383,322,35,00
36;Oo,383,322,3b,_00
37;Oo,383,322,37,00
38;Oo,383,322,38,00
39;Oo,383,322,39,00
40;Oo,383,322,40,00
41;Oo,383,322,4!,oo
42;Oo,383,322,42,00
43;Oo,383,322,43,00
44;Oo,383,322,44,O00
45;Oo,383,322,4+S_00
46;Oo,383,322,+b_OO
47;Oo,383,322,47,00
48;
49;Oo,383,322,49,00
50;Oo,383,322,so_.o00
51;Oo,383,322,si,_oo
52;Oo,383,322,se_oo
53;Oo,383,322,$3,000
54;Oo,383,322,s+,oo
55;Oo,383,322,ss_oo
56;Oo,383,322,Sb_oOo
57;Oo,383,322,s7_o00
58;Oo,383,322,s6_.o00
