frame;text
1;oO,385,3e4,oo
2;oO,385,3e4
3;oO,385,3e4
4;oO,385,3e4,_oo
5;oO,385,3e4
6;oO,385,3e4
7;oO,385,3e4,_oo
8;oo,3e4,oO,385
9;
10;oO,38s,324,10,00
11;Oo,385,3e4,11,00
12;oO,38s,324,12,00
13;oO,38s,324,13,00
14;oO,38s,324,14,00
15;oO,38s,324,1S_o00
16;oO,38s,324,1b,,00
17;oO,38s,324,17,00
18;oO,38s,324,18,00
19;oO,38s,324,19,00
20;oO,385,3e4,20,00
21;oO,385,3e4,el,_oo
22;oO,385,3e4,e2_.oo
23;Oo,390,329,o,o0o
24;Oo,390,329,1.00
25;
26;
27;
28;Oo,390
29;Oo,390,_oo
30;Oo,390,x,=
31;Oo,390,329
32;Oo,390,329,_oo
33;o,390,329,10,00
