frame;text
1;O,ATTACKAIRLW,ATTACKAIRLW,oo
2;O,ATTACKAIRLW,ATTACKAIRLW
3;O,ATTACKAIRLW,ATTACKAIRLW
4;O,ATTACKAIRLW,ATTACKAIRLW,_oo
5;O,ATTACKAIRLW,ATTACKAIRLW
6;O,ATTACKAIRLW,ATTACKAIRLW,_oo
7;O,ATTACKAIRLW,ATTACKAIRLW,_oo
8;O,ATTACKAIRLW,ATTACKAIRLW
9;O,ATTACKAIRLW,ATTACKAIRLW,_oo
10;O,ATTACKAIRLW,ATTACKAIRLW,10,00
11;O,ATTACKAIRLW,ATTACKAIRLW,oo
12;O,ATTACKAIRLW,ATTACKAIRLW,12,00
13;O,ATTACKAIRLW,ATTACKAIRLW,13,00
14;O,ATTACKAIRLW,ATTACKAIRLW,14,00
15;O,ATTACKAIRLW,ATTACKAIRLW,15,00
16;O,ATTACKAIRLW,ATTACKAIRLW,1b,00
17;O,ATTACKAIRLW,ATTACKAIRLW,17,00
18;O,ATTACKAIRLW,ATTACKAIRLW,16,00
19;O,ATTACKAIRLW,ATTACKAIRLW,19,00
20;O,ATTACKAIRLW,ATTACKAIRLW,20,00
21;O,ATTACKAIRLW,ATTACKAIRLW,el,_oo
22;O,ATTACKAIRLW,ATTACKAIRLW,e2_.oo
23;O,ATTACKAIRLW,ATTACKAIRLW,23,00
24;O,ATTACKAIRLW,ATTACKAIRLW,e4,oo
25;O,ATTACKAIRLW,ATTACKAIRLW,25,00
26;O,ATTACKAIRLW,ATTACKAIRLW,2b_00
27;O,ATTACKAIRLW,ATTACKAIRLW,e7,00
28;O,ATTACKAIRLW,ATTACKAIRLW,28,00
29;O,ATTACKAIRLW,ATTACKAIRLW,29,00
30;O,ATTACKAIRLW,ATTACKAIRLW,30,00
31;O,ATTACKAIRLW,ATTACKAIRLW,31,_oo
32;O,ATTACKAIRLW,ATTACKAIRLW,32,00
33;O,ATTACKAIRLW,ATTACKAIRLW,33,00
34;O,ATTACKAIRLW,ATTACKAIRLW,34,_o00
35;O,ATTACKAIRLW,ATTACKAIRLW,35,00
36;O,ATTACKAIRLW,ATTACKAIRLW,3b,_00
37;O,ATTACKAIRLW,ATTACKAIRLW,37,00
38;O,ATTACKAIRLW,ATTACKAIRLW,38,00
39;O,ATTACKAIRLW,ATTACKAIRLW,39,00
40;O,ATTACKAIRLW,ATTACKAIRLW,40,00
41;O,ATTACKAIRLW,ATTACKAIRLW,4!,oo
42;O,ATTACKAIRLW,ATTACKAIRLW,42,00
43;O,ATTACKAIRLW,ATTACKAIRLW,43,00
44;O,ATTACKAIRLW,ATTACKAIRLW,44,_00
45;O,ATTACKAIRLW,ATTACKAIRLW,4+S_00
46;O,ATTACKAIRLW,ATTACKAIRLW,+b_OO
47;O,ATTACKAIRLW,ATTACKAIRLW,47,00
48;O,ATTACKAIRLW,ATTACKAIRLW,46,00
49;O,ATTACKAIRLW,ATTACKAIRLW,49,00
50;O,ATTACKAIRLW,ATTACKAIRLW,so_.o00
51;O,ATTACKAIRLW,ATTACKAIRLW,si,_oo
52;O,ATTACKAIRLW,ATTACKAIRLW,se_oo
53;O,ATTACKAIRLW,ATTACKAIRLW,$3,000
54;O,ATTACKAIRLW,ATTACKAIRLW,s4¥_o0o
55;O,ATTACKAIRLW,ATTACKAIRLW,ss_oo
56;O,ATTACKAIRLW,ATTACKAIRLW,Sb_oOo
57;O,ATTACKAIRLW,ATTACKAIRLW,s7_o00
58;O,ATTACKAIRLW,ATTACKAIRLW,s6_.o00
59;O,ATTACKAIRLW,ATTACKAIRLW,$900
60;O,ATTACKAIRLW,ATTACKAIRLW,bO_oOO0
61;O,ATTACKAIRLW,ATTACKAIRLW,BI,_oo
62;O,ATTACKAIRLW,ATTACKAIRLW,be,_oo
63;O,ATTACKAIRLW,ATTACKAIRLW,63,00
64;O,ATTACKAIRLW,ATTACKAIRLW,bY,OO
65;O,ATTACKAIRLW,ATTACKAIRLW,bS_oOo
66;O,ATTACKAIRLW,ATTACKAIRLW,bb,_OO
67;O,ATTACKAIRLW,ATTACKAIRLW,b7_oOO0
68;O,ATTACKAIRLW,ATTACKAIRLW,be,oOo
69;O,ATTACKAIRLW,ATTACKAIRLW,69,00
70;O,ATTACKAIRLW,ATTACKAIRLW,70,00
71;O,ATTACKAIRLW,ATTACKAIRLW,a,|,_oo
72;O,ATTACKAIRLW,ATTACKAIRLW,72,00
73;O,ATTACKAIRLW,ATTACKAIRLW,73,00
74;O,ATTACKAIRLW,ATTACKAIRLW,74,oO
75;O,ATTACKAIRLW,ATTACKAIRLW,75,00
76;O,ATTACKAIRLW,ATTACKAIRLW,7b_,O00
77;O,ATTACKAIRLW,ATTACKAIRLW,77,00
78;O,ATTACKAIRLW,ATTACKAIRLW,78,00
79;O,ATTACKAIRLW,ATTACKAIRLW,79,00
80;O,ATTACKAIRLW,ATTACKAIRLW,60,00
81;O,ATTACKAIRLW,ATTACKAIRLW,_oo
82;O,ATTACKAIRLW,ATTACKAIRLW,Be,_oo
83;O,ATTACKAIRLW,ATTACKAIRLW,63,00
84;O,ATTACKAIRLW,ATTACKAIRLW,a4,_oo
85;O,ATTACKAIRLW,ATTACKAIRLW,=
86;O,ATTACKAIRLW,ATTACKAIRLW,8b,_oOo0
87;O,ATTACKAIRLW,ATTACKAIRLW,ea7_o00
88;O,ATTACKAIRLW,ATTACKAIRLW,66.00
