frame;text
1;O,CATCHDASH,CATCHDASH
2;O,CATCHDASH,CATCHDASH,oo
3;O,CATCHDASH,CATCHDASH
4;O,CATCHDASH,CATCHDASH
5;O,CATCHDASH,CATCHDASH,_oo
6;O,CATCHDASH,CATCHDASH
7;O,CATCHDASH,CATCHDASH,_oo
8;O,CATCHDASH,CATCHDASH,_oo
9;O,CATCHDASH,-,CATCHDASH
10;O,CATCHDASH,CATCHDASH,_oo
11;O,CATCHDASH,CATCHDASH,10,00
12;O,CATCHDASH,CATCHDASH,11.00
13;O,CATCHDASH,CATCHDASH,12,00
14;O,CATCHDASH,CATCHDASH,13,00
15;O,CATCHDASH,CATCHDASH,14,00
16;O,CATCHDASH,CATCHDASH,15,00
17;O,CATCHDASH,CATCHDASH,1b,00
18;O,CATCHDASH,CATCHDASH,17,00
19;O,CATCHDASH,CATCHDASH,18,00
20;O,CATCHDASH,CATCHDASH,19,00
21;O,CATCHDASH,CATCHDASH,20_00
22;O,CATCHDASH,CATCHDASH,el,_oo
23;O,CATCHDASH,CATCHDASH,22_00
24;O,CATCHDASH,CATCHDASH,23_00
25;O,CATCHDASH,CATCHDASH,24,00
26;O,CATCHDASH,CATCHDASH,2s_o0
27;O,CATCHDASH,CATCHDASH,2b_00
28;O,CATCHDASH,CATCHDASH,27,00
29;O,CATCHDASH,CATCHDASH,28_00
30;O,CATCHDASH,CATCHDASH,29_00
31;O,CATCHDASH,CATCHDASH,30,00
32;O,CATCHDASH,CATCHDASH,31,_oo
33;O,CATCHDASH,CATCHDASH,32,00
34;O,CATCHDASH,CATCHDASH,33,00
35;O,CATCHDASH,CATCHDASH,34,oo
36;O,CATCHDASH,CATCHDASH,3s_o00
37;O,CATCHDASH,CATCHDASH,3b,,00
38;O,CATCHDASH,CATCHDASH,37,00
39;O,CATCHDASH,CATCHDASH,38,00
40;O,CATCHDASH,CATCHDASH,39,00
41;O,CATCHDASH,CATCHDASH,40_00
42;O,CATCHDASH,CATCHDASH,4!,oo
43;O,CATCHDASH,CATCHDASH,42_00
44;O,CATCHDASH,CATCHDASH,43,00
45;O,CATCHDASH,CATCHDASH,4400
46;O,CATCHDASH,CATCHDASH,4S_00
47;O,CATCHDASH,CATCHDASH,4b_00
48;O,CATCHDASH,CATCHDASH,47,00
49;O,CATCHDASH,CATCHDASH,46,00
50;O,CATCHDASH,CATCHDASH,4900
51;O,CATCHDASH,CATCHDASH,so_oo
52;O,CATCHDASH,CATCHDASH,si,_oo
53;O,CATCHDASH,CATCHDASH,s2_o00
54;O,CATCHDASH,CATCHDASH,s3_00
55;O,CATCHDASH,CATCHDASH,s4¥_o0o
56;O,CATCHDASH,CATCHDASH,ss_oo
57;O,CATCHDASH,CATCHDASH,Sb_oo
58;O,CATCHDASH,CATCHDASH,s?7_00
59;O,CATCHDASH,CATCHDASH,se_oo
60;O,CATCHDASH,CATCHDASH,$900
61;O,CATCHDASH,CATCHDASH,bo_oo
62;O,CATCHDASH,CATCHDASH,BI,_oo
63;O,CATCHDASH,CATCHDASH,b2_o00
64;O,CATCHDASH,CATCHDASH,b3_00
65;O,CATCHDASH,CATCHDASH,bY,oo
66;O,CATCHDASH,CATCHDASH,bS_oo
67;O,CATCHDASH,CATCHDASH,x,bb_,oo
68;O,CATCHDASH,CATCHDASH,b?_00
69;O,CATCHDASH,CATCHDASH,be,oOo
70;O,CATCHDASH,CATCHDASH,69,00
71;O,CATCHDASH,CATCHDASH,70,00
72;O,CATCHDASH,CATCHDASH,a,|,_oo
73;O,CATCHDASH,CATCHDASH,72,00
74;O,CATCHDASH,CATCHDASH,73,00
75;O,CATCHDASH,CATCHDASH,74,oO
76;O,CATCHDASH,CATCHDASH,75,00
77;O,CATCHDASH,CATCHDASH,7b_,O00
78;O,CATCHDASH,CATCHDASH,77,00
79;O,CATCHDASH,CATCHDASH,78,00
80;O,CATCHDASH,CATCHDASH,79,00
81;O,CATCHDASH,CATCHDASH,60,00
82;O,CATCHDASH,CATCHDASH,_oo
83;O,CATCHDASH,CATCHDASH,Be,_oo
84;O,CATCHDASH,CATCHDASH,63,00
85;O,CATCHDASH,CATCHDASH,a4,_oo
86;O,CATCHDASH,CATCHDASH,=
87;O,CATCHDASH,CATCHDASH,8b,_oOo0
88;O,CATCHDASH,CATCHDASH,ea7_o00
89;O,CATCHDASH,CATCHDASH,66.00
90;O,CATCHDASH,CATCHDASH,69,00
91;O,CATCHDASH,CATCHDASH,90,00
92;O,CATCHDASH,CATCHDASH,a1,_oo
93;O,CATCHDASH,CATCHDASH,92,00
94;O,CATCHDASH,CATCHDASH,93,00
