frame;text
1;oO,358,oo,LR
2;oO,358,LR
3;oO,358,LR
4;oO,358,_oo,LR
5;oO,358,LR
6;oO,358,_oo,LR
7;oO,358,_oo,LR
8;oO,358,LR
9;oO,358,_oo,LR
10;oO,358,310,10,00,LR
11;Oo,358,310,11.00,LR
12;oO,358,310,12,00,LR
13;oO,358,310,13,00,LR
14;0,358,310,14,00,LR
15;oO,358,310,15,00,LR
16;o,358,310,Ib,0O,=LR
17;0,358,310,17,00,LR
18;oO,358,310,16,00,LR
19;0,358,310,19,00,LR
20;oO,358,310,20,00,LR
21;oO,358,310,21,00,LR
22;oO,358,310,e2_.oo,LR
23;oO,358,310,23,00,LR
24;oO,358,310,e4,oo,LR
25;oO,358,2s_o0,LR
26;oO,358,310,2b_00,LR
27;oO,358,310,27,00,LR
28;oO,358,310,28,00,LR
29;oO,358,310,29,00,LR
30;oO,358,310,30,00,LR
31;oO,358,310,31,00,LR
32;oO,358,310,32,00,LR
33;oO,358,310,33,00,LR
34;oO,358,310,34,_o00,LR
35;oO,358,310,35,00,LR
36;oO,358,310,3b,_00,LR
37;oO,358,310,37,00,LR
38;oO,358,310,38,00,LR
39;oO,358,310,39,00,LR
40;O,WAIT,WAITITEM,LR
41;O,WAIT,WAITITEM,oo,LR
42;O,WAIT,WAITITEM,LR
43;O,WAIT,WAITITEM,LR
44;O,WAIT,WAITITEM,_oo,LR
45;O,WAIT,WAITITEM,LR
46;O,WAIT,WAITITEM,_oo,LR
47;O,WAIT,WAITITEM,_oo,LR
48;O,WAIT,WAITITEM,LR
49;O,WAIT,WAITITEM,_oo,LR
50;O,WAIT,WAITITEM,10,00,LR
51;O,WAIT,WAITITEM,11.00,LR
52;O,WAIT,WAITITEM,12,00,LR
53;O,WAIT,WAITITEM,13,00,LR
54;O,WAIT,WAITITEM,14,00,LR
55;O,WAIT,WAITITEM,15,00,LR
56;O,WAIT,WAITITEM,1b,00,LR
57;O,WAIT,WAITITEM,17,00,LR
58;O,WAIT,WAITITEM,16,00,LR
59;O,WAIT,WAITITEM,19,00,LR
60;O,WAIT,WAITITEM,20,00,LR
61;O,WAIT,WAITITEM,21,00,LR
62;O,WAIT,WAITITEM,e2_.oo,LR
63;O,WAIT,WAITITEM,23,00,LR
64;O,WAIT,WAITITEM,e4,oo,LR
65;O,WAIT,WAITITEM,25,00,LR
66;O,WAIT,WAITITEM,2b_00,LR
67;O,WAIT,WAITITEM,e7,00,LR
68;O,WAIT,WAITITEM,28,00,LR
69;O,WAIT,WAITITEM,29,00,LR
70;O,WAIT,WAITITEM,30,00,LR
71;O,WAIT,WAITITEM,31,00,LR
72;O,WAIT,WAITITEM,32,00,LR
73;O,WAIT,WAITITEM,33,00,LR
74;O,WAIT,WAITITEM,34,_o00,LR
75;O,WAIT,WAITITEM,35,00,LR
76;O,WAIT,WAITITEM,3b,_00,LR
77;O,WAIT,WAITITEM,37,00,LR
78;O,WAIT,WAITITEM,38,00,LR
79;O,WAIT,WAITITEM,39,00,LR
80;O,WAIT,WAITITEM,40,00,LR
81;O,WAIT,WAITITEM,41.00,LR
82;O,WAIT,WAITITEM,42,00,LR
83;O,WAIT,WAITITEM,43,00,LR
84;O,WAIT,WAITITEM,44,_00,LR
85;O,WAIT,WAITITEM,4+S_00,LR
86;O,WAIT,WAITITEM,+b_OO,LR
87;O,WAIT,WAITITEM,47,00,LR
88;O,WAIT,WAITITEM,46,00,LR
89;O,WAIT,WAITITEM,49,00,LR
90;O,WAIT,WAITITEM,so_.o00,LR
91;O,WAIT,WAITITEM,s!1.00,LR
92;O,WAIT,WAITITEM,se_oo,LR
93;O,WAIT,WAITITEM,$3,000,LR
94;O,WAIT,WAITITEM,s4¥_o0o,LR
95;O,WAIT,WAITITEM,ss_oo,LR
96;O,WAIT,WAITITEM,Sb_oOo,LR
97;O,WAIT,WAITITEM,s?7_00,LR
98;O,WAIT,WAITITEM,s6_.o00,LR
99;O,WAIT,WAITITEM,$900,LR
100;O,WAIT,WAITITEM,bO_oOO0,LR
101;O,WAIT,WAITITEM,b!I,o00,LR
102;O,WAIT,WAITITEM,be,_oo,LR
103;O,WAIT,WAITITEM,63,00,LR
104;O,WAIT,WAITITEM,bY,OO,LR
105;O,WAIT,WAITITEM,bS_oOo,LR
106;O,WAIT,WAITITEM,bb,_OO,LR
107;O,WAIT,WAITITEM,b7_oOO0,LR
108;O,WAIT,WAITITEM,be,oOo,LR
109;O,WAIT,WAITITEM,69,00,LR
110;O,WAIT,WAITITEM,70,00,LR
111;O,WAIT,WAITITEM,71,00,LR
112;O,WAIT,WAITITEM,72,00,LR
113;O,WAIT,WAITITEM,73,00,LR
114;O,WAIT,WAITITEM,74,oO,LR
115;O,WAIT,WAITITEM,75,00,LR
116;O,WAIT,WAITITEM,7b_,O00,LR
117;O,WAIT,WAITITEM,77,00,LR
118;O,WAIT,WAITITEM,78,00,LR
119;O,WAIT,WAITITEM,79,00,LR
120;O,WAIT,WAITITEM,60,00,LR
121;O,WAIT,WAITITEM,681,00,LR
122;O,WAIT,WAITITEM,Be,_oo,LR
123;O,WAIT,WAITITEM,63,00,LR
124;O,WAIT,WAITITEM,a4,_oo,LR
125;O,WAIT,WAITITEM,=,LR
126;O,WAIT,WAITITEM,8b,_oOo0,LR
127;O,WAIT,WAITITEM,ea7_o00,LR
128;O,WAIT,WAITITEM,66.00,LR
129;O,WAIT,WAITITEM,69,00,LR
130;O,WAIT,WAITITEM,90,00,LR
131;O,WAIT,WAITITEM,31,00,LR
132;O,WAIT,WAITITEM,92,00,LR
133;O,WAIT,WAITITEM,93,00,LR
134;O,WAIT,WAITITEM,a4,00,LR
135;O,WAIT,WAITITEM,35,00,LR
136;O,WAIT,WAITITEM,%b,00,LR
137;O,WAIT,WAITITEM,37,00,LR
138;O,WAIT,WAITITEM,26,00,LR
139;O,WAIT,WAITITEM,29,00,LR
140;O,WAIT,WAITITEM,100,00,LR
141;O,WAIT,WAITITEM,101,00,LR
142;O,WAIT,WAITITEM,102,00,LR
143;O,WAIT,WAITITEM,103,00,LR
144;O,WAIT,WAITITEM,10%,00,LR
145;O,WAIT,WAITITEM,105,00,LR
146;O,WAIT,WAITITEM,106,00,LR
147;O,WAIT,WAITITEM,107,00,LR
148;O,WAIT,WAITITEM,108,00,LR
149;O,WAIT,WAITITEM,109,00,LR
150;O,WAIT,WAITITEM,110,00,LR
151;O,WAIT,WAITITEM,111.00,LR
152;O,WAIT,WAITITEM,112,00,LR
153;O,WAIT,WAITITEM,113,00,LR
154;O,WAIT,WAITITEM,11%,00,LR
155;O,WAIT,WAITITEM,115,00,LR
156;O,WAIT,WAITITEM,116,00,LR
157;O,WAIT,WAITITEM,117,00,LR
158;O,WAIT,WAITITEM,116,00,LR
159;O,WAIT,WAITITEM,119,00,LR
160;O,WAIT,WAITITEM,LR
161;O,WAIT,WAITITEM,oo,LR
162;O,WAIT,WAITITEM,LR
163;O,WAIT,WAITITEM,LR
164;O,WAIT,WAITITEM,_oo,LR
165;O,WAIT,WAITITEM,LR
166;O,WAIT,WAITITEM,_oo,LR
167;O,WAIT,WAITITEM,_oo,LR
