frame;text
1;O,ATTACKSAS,ATTACKS3S,oo
2;O,ATTACKSAS,ATTACKS3S
3;O,ATTACKSAS,ATTACKS3S
4;O,ATTACKSAS,ATTACKS3S,_oo
5;O,ATTACKSAS,ATTACKS3S
6;O,ATTACKSAS,ATTACKS3S,_oo
7;O,ATTACKSAS,ATTACKS3S,_oo
8;O,ATTACKSAS,ATTACKS3S
9;O,ATTACKSAS,ATTACKS3S,_oo
10;O,ATTACKSAS,ATTACKS3S,10,00
11;O,ATTACKSAS,ATTACKS3S,oo
12;O,ATTACKSAS,ATTACKS3S,12,00
13;O,ATTACKSAS,ATTACKS3S,13,00,R
14;O,ATTACKSAS,ATTACKS3S,14,00
15;O,ATTACKSAS,ATTACKS3S,1S_o00
16;O,ATTACKSAS,ATTACKSAS,1b,,00
17;O,ATTACKSAS,ATTACKS3S,17,00
18;O,ATTACKSAS,ATTACKSAS,18,00
19;O,ATTACKSAS,ATTACKSAS,19,00
20;O,ATTACKSAS,ATTACKS3S,20_00,R
21;O,ATTACKSAS,ATTACKS3S,el,_oo,R
22;O,ATTACKSAS,ATTACKS3S,22_00,R
23;O,ATTACKSAS,ATTACKS3S,23_00,R
24;O,ATTACKSAS,ATTACKS3S,24,00,R
25;O,ATTACKSAS,ATTACKS3S,2s_o0,R
26;O,ATTACKSAS,ATTACKS3S,2b_00,R
27;O,ATTACKSAS,ATTACKS3S,27,00,R
28;O,ATTACKSAS,ATTACKS3S,28_00,R
29;O,ATTACKSAS,ATTACKS3S,29_00,R
30;O,ATTACKSAS,ATTACKS3S,30,00,R
31;O,ATTACKSAS,ATTACKS3S,31,_oo
32;O,ATTACKSAS,ATTACKS3S,32,00
33;O,ATTACKSAS,ATTACKS3S,33,00
34;O,ATTACKSAS,ATTACKS3S,34,oo,R
35;O,ATTACKSAS,ATTACKS3S,3s_o00,R
36;O,ATTACKSAS,ATTACKS3S,3b,,00,R
37;O,ATTACKSAS,ATTACKS3S,37,00
38;O,ATTACKSAS,ATTACKS3S,38,00,R
