frame;text
1;O,CATCH,CATCH
2;O,CATCH,CATCH,oo
3;O,CATCH,CATCH
4;O,CATCH,CATCH
5;O,CATCH,CATCH,_oo
6;O,CATCH,CATCH
7;O,CATCH,CATCH,_oo
8;O,CATCH,CATCH,_oo
9;O,CATCH,CATCH
10;O,CATCH,CATCH,_oo
11;O,CATCH,CATCH,10,00
12;O,CATCH,CATCH,oo
13;O,CATCH,CATCH,12,00,R
14;O,CATCH,CATCH,13,00
15;O,CATCH,CATCH,14,00,R
16;O,CATCH,CATCH,1S_,00,R
17;O,CATCH,CATCH,1b,,00,R
18;O,CATCH,CATCH,17,00,R
19;O,CATCH,CATCH,18,00,R
20;O,CATCH,CATCH,19,00,R
21;O,CATCH,CATCH,20,00,R
22;O,CATCH,CATCH,el,_oo,R
23;O,CATCH,CATCH,22_00,R
24;O,CATCH,CATCH,23_00,R
25;O,CATCH,CATCH,24,00,R
26;O,CATCH,CATCH,2s_o0,R
27;O,CATCH,CATCH,2b_00,R
28;O,CATCH,CATCH,27,00
29;O,CATCH,CATCH,28_00,R
30;O,CATCH,CATCH,29_00,R
31;O,CATCH,CATCH,30,00,R
32;O,CATCH,CATCH,31,_oo,R
33;O,CATCH,CATCH,32,00,R
34;O,CATCH,CATCH,33,00,R
35;O,CATCH,CATCH,34,oo,R
36;O,CATCH,CATCH,3s_o00
37;O,CATCH,CATCH,3b,,00
38;O,CATCH,CATCH,37,00
39;O,CATCH,CATCH,38,00
40;O,CATCH,CATCH,39,00
41;O,CATCH,CATCH,40_00
42;O,CATCH,CATCH,4!,oo
43;O,CATCH,CATCH,42_00
44;O,CATCH,CATCH,43,00
45;O,CATCH,CATCH,4400
46;O,CATCH,CATCH,4S_00
47;O,CATCH,CATCH,4b_00
48;O,CATCH,CATCH,47,00
49;O,CATCH,CATCH,48_00
50;O,CATCH,CATCH,4900
51;O,CATCH,CATCH,so_oo
52;O,CATCH,CATCH,si,_oo
53;O,CATCH,CATCH,s2_o00,R
54;O,CATCH,CATCH,s3_00
55;O,CATCH,CATCH,s4¥_o00,R
56;O,CATCH,CATCH,ss_oo
57;O,CATCH,CATCH,Sb_oo,R
58;O,CATCH,CATCH,s?7_00,R
59;O,CATCH,CATCH,se_oo
60;O,CATCH,CATCH,s9_o00
61;O,CATCH,CATCH,bo_oo
62;oo,BI,CATCH,O,CATCH
63;o,CATCH,CATCH,b2_o00
64;O,CATCH,CATCH,b3_00
65;O,CATCH,CATCH,bY,oo
66;O,CATCH,CATCH,bS_oo
67;O,CATCH,CATCH,bb_,oo
68;O,CATCH,CATCH,b?_00
69;O,CATCH,CATCH,be_,oo
70;O,CATCH,CATCH,b9_00
71;O,CATCH,CATCH,70,00
72;O,CATCH,CATCH,a,|,_oo
73;o,CATCH,CATCH,72,00
74;O,CATCH,CATCH,73,00
75;O,CATCH,CATCH,7400
76;O,CATCH,CATCH,75,00
77;O,CATCH,CATCH,76,00
78;O,CATCH,CATCH,77,00
79;O,CATCH,CATCH,78,00
80;O,CATCH,CATCH,79,00
81;O,CATCH,CATCH,80_00
82;O,CATCH,CATCH,_oo
83;O,CATCH,CATCH,82_00
84;O,CATCH,CATCH,83_00
