frame;text
1;O,ATTACKII,ATTACKI,1,oo
2;O,ATTACKII,ATTACKI,1
3;O,ATTACKII,ATTACKI,1
4;O,ATTACKII,ATTACKI,1,_oo
5;O,ATTACKII,ATTACKI,1
6;O,ATTACKII,ATTACKI1,boo
7;O,ATTACKII,ATTACKII,7,00
8;O,ATTACKII,ATTACKI1,8,00
9;O,ATTACKII,ATTACKII,9_00
10;O,ATTACKII,ATTACKI,1,10,00
11;O,ATTACKII,ATTACKI,1,oo
12;O,ATTACKII,ATTACKI,1,12,00
13;O,ATTACKII,ATTACKI,1,13,00
14;O,ATTACKII,ATTACKI,1,14,00
15;O,ATTACKII,ATTACKI,1,1S_o00
16;O,ATTACKII,ATTACKI,1,1b,,00
17;O,ATTACKII,ATTACKI,1,17,00
18;O,ATTACKII,ATTACKI,1,18,00
19;O,ATTACKII,ATTACKI,1,19,00
20;O,ATTACKII,ATTACKI,1,20_00,R
21;O,ATTACKII,ATTACKI,1,el,_oo,R
22;O,ATTACKII,ATTACKI,1,22_00,R
23;O,ATTACKII,ATTACKI,1,23_00,R
