frame;text
1;oO,344,25b,oo,LR
2;oO,344,25b,LR
3;oO,344,25b,LR
4;oO,344,25b,_oo,LR
5;oO,344,25b,LR
6;LR,oo,25b,oO,344
7;oO,344,25b,_oo,LR
8;oO,344,25b,LR
9;oO,344,25b,_oo,LR
10;oO,344,29b,10,00,LR
11;Oo,344,29b,11.00,LR
12;oO,344,29b,12,00,LR
13;oO,344,29b,13,00,LR
14;Oo,344,29b,14%,00,LR
15;oO,344,29b,15.00,LR
16;oO,344,25b,1b,,00,LR
17;oO,344,25b,17,00,LR
18;Oo,34b,278,_oo,LR
19;Oo,34b,278,oo,LR
20;Oo,34b,278,LR
21;o,34b,278,_oo,LR
22;Oo,34b,LR
23;Oo,34b,LR
24;Oo,34b,278,_oo,LR
25;Oo,34b,278,_oo,LR
26;Oo,34b,278,_oo,LR
27;Oo,34b,278,_oo,LR
28;O,34%b,298,10,00,LR
29;
30;O,34%b,298,12,00,LR
31;
32;O,34b,298,14%,00,LR
33;O,34%b,298,1S.00,LR
34;O,34%b,298,Ib,0O,=LR
35;O,34b,298,17,00,LR
36;Oo,34b,278,18,00,LR
37;O,34b,298,19,00,LR
38;Oo,34b,258,20,00,LR
39;O,34%b,298,21,00,LR
40;Oo,34b,258,e2_.oo,LR
41;Oo,34b,278,23_00,LR
