frame;text
1;o,350,302,oo
2;o,350,302
3;o,350,302
4;o,350,302,_oo
5;o,350,302
6;o,350
7;oo,302,o,350
8;o,350,302
9;o,350,302,_oo
10;o,350,302,10,00,R
11;o,350,302,oo
12;o,350,302,12,00
13;o,350,302,13,00
14;o,350,302,14,00
15;o,350,302,1S_o00
16;o,350,302,1b,,00
17;o,350,302,17,00
18;o,350,302,16,00
19;o,350,302,19,00
20;o,350,302,20_00,R
21;o,350,302,el,_oo
22;o,350,302,22_00
23;o,350,302,rer,23_00
24;o,350,302,24,00,R
25;o,350,302,2s_o0,R
26;o,350,302,2b_00,R
27;o,350,302,27,00
28;o,350,302,28_00
29;o,350,302,29,00,R
30;o,350,302,30,00,R
31;o,350,302,31,_oo
32;o,350,302,32,00,R
33;o,350,302,33,00
34;o,350,302,34,O00,R
35;o,350,302,3s_o00
36;o,350,302,3b,_00,R
37;o,350,302,37,00,R
38;o,350,302,38,00,R
39;o,350,302,39,00,R
40;o,350,302,40_00,R
41;o,350,302,4!,oo,R
42;o,350,302,42_00,R
43;o,350,302,43,00,R
44;o,350,302,4400
