frame;text
1;O,EXCAPE,ESCAPEN,oo
2;O,EXCAPE,ESCAPEN,oo
3;O,EXCAPE,ESCAPEN
4;O,EXCAPE,ESCAPEN
5;O,EXCAPE,ESCAPEN,_oo
6;O,EXCAPE,ESCAPEN
7;O,EXCAPE,ESCAPEN,_oo
8;O,EXCAPE,ESCAPEN,_oo
9;O,EXCAPE,ESCAPEN
10;O,EXCAPE,ESCAPEN,_oo
11;O,EXCAPE,ESCAPEN,10,00
12;O,EXCAPE,ESCAPEN,oo
13;O,EXCAPE,ESCAPEN,12,00,shy
14;O,EXCAPE,ESCAPEN,13,00
15;O,EXCAPE,ESCAPEN,14,00
16;O,EXCAPE,ESCAPEN,15,00
17;O,ESCAPE,ESCAPEN,1b,,00
18;O,EXCAPE,ESCAPEN,17,00
19;O,EXCAPE,ESCAPEN,16,00
20;O,EXCAPE,ESCAPEN,19,00
21;O,EXCAPE,ESCAPEN,20,00
