frame;text
1;O,35b,308,oo
2;O,35b,308
3;O,35b,308
4;O,35b,308,_oo
5;O,35b,308
6;O,35b,308,_oo
7;O,35b,308,_oo
8;O,35b,308,68,00
9;O,35b,308,_oo
10;O,35b,308,10,00
11;O,35b,308,11,00
12;O,35b,308,12,00
13;O,35b,308,13,00
14;O,35b,308,14,00
15;O,35b,308,15,00
16;O,35b,308,1b,00
17;O,35b,308,17,00
18;O,35b,308,16,00
19;O,35b,308,19,00
20;O,35b,308,20,00
21;O,35b,308,21,00
22;O,35b,308,e2_.oo
23;O,35b,308,23,00
24;O,35b,308,e+,oo
25;O,35b,308,25,00
26;O,35b,308,2b_00
27;O,35b,308,27,00
28;O,35b,308,28,00
29;O,35b,308,29,00
30;O,35b,308,30,00
31;O,35b,308,31,00
32;O,35b,308,32,00
33;O,35b,308,33,00
34;O,35b,308,34,O00
35;O,35b,308,35,00
36;O,35b,308,3b,_00
37;O,35b,308,37,00
38;O,35b,308,38,00
39;O,35b,308,39,00
40;O,35b,308,40,00
41;O,35b,308,41,00
42;O,35b,308,42,00
43;O,35b,308,43,00
44;O,35b,308,44,O00
45;O,35b,308,4+S_00
46;O,35b,308,+b_OO
47;O,35b,308,47,00
48;O,35b,308,46,00
49;O,35b,308,49,00
50;O,35b,308,so_.o00
51;O,35b,308,si,_oo
52;O,35b,308,se_oo
53;O,35b,308,$3,000
54;O,35b,308,s+,oo
55;O,35b,308,ss_oo
56;O,35b,308,Sb_oOo
57;O,35b,308,s7_o00
58;O,35b,308,s6_.o00
59;O,35b,308,s9,o00
60;O,35b,308,bO_oOO0
61;O,35b,308,BI,_oo
62;O,35b,308,be,_oo
63;O,35b,308,63,00
64;O,35b,308,bY,OO
65;O,35b,308,bS_oOo
66;O,35b,308,bb,_OO
67;O,35b,308,b7?_OO0
68;O,35b,308,be,oOo
69;O,35b,308,69,00
70;O,35b,308,70,00
71;O,35b,308,a,|,_oo
72;O,35b,308,72,00
73;O,35b,308,73,00
74;O,35b,308,74,OO,LR
75;O,35b,308,75,00,LR
76;O,35b,308,7b_,O00,LR
77;O,35b,308,77,00,LR
78;O,35b,308,78,00,LR
