frame;text
1;O,ATTACKHIS3Z,ATTACKHI3,oo,LR
2;O,ATTACKHIS3Z,ATTACKHI3,LR
3;O,ATTACKHIS3Z,ATTACKHI3,LR
4;O,ATTACKHIS3Z,ATTACKHI3,_oo,LR
5;O,ATTACKHIS3Z,ATTACKHI3,LR
6;O,ATTACKHIS3Z,ATTACKHI3,_oo,LR
7;O,ATTACKHIS3Z,ATTACKHI3,_oo,LR
8;O,ATTACKHIS3Z,ATTACKHI3,LR
9;O,ATTACKHIS3Z,ATTACKHI3,_oo,LR
10;O,ATTACKHIS,ATTACKHI3,10,00,LR
11;O,ATTACKHIS,ATTACKHI3,11.00,LR
12;O,ATTACKHIS,12,00,LR
13;O,ATTACKHIS,ATTACKHI3,13,00,LR
14;O,ATTACKHIS,ATTACKHI3,14,00,LR
15;O,ATTACKHIS,ATTACKHI3,15,00,LR
16;O,ATTACKHIS,ATTACKHI3,1b,00,LR
17;O,ATTACKHIS,ATTACKHI3,17,00,LR
18;O,ATTACKHIS,ATTACKHI3,16,00,LR
19;O,ATTACKHIS,ATTACKHI3,19.00,LR
20;O,ATTACKHIS,ATTACKHI3,20,00,LR
21;O,ATTACKHIS,ATTACKHI3,21,00,LR
22;O,ATTACKHIS,ATTACKHI3,e2_.oo,LR
23;O,ATTACKHIS,ATTACKHI3,23,00,LR
24;O,ATTACKHIS,ATTACKHI3,e4,oo,LR
25;O,ATTACKHIS,ATTACKHI3,25,00,LR
26;O,ATTACKHIS,ATTACKHI3,2b_00,LR
27;O,ATTACKHIS,ATTACKHI3,e7,00,LR
28;O,ATTACKHIS,ATTACKHI3,28,00,LR
