frame;text
1;oO,358,oo
2;oO,358
3;oO,358
4;oO,358,_oo
5;oO,358
6;oO,358,_oo
7;oO,358,_oo
8;oO,358
9;oO,358,_oo
10;o,358,Bi,10,00
11;oO,358,oo
12;o,358,Bi,12,00
13;o,358,Bi,13,00
14;o,358,Bi,14,00
15;o,358,Bi,1S_o00
16;o,358,Bi,1b,,00
17;o,358,Bi,17,00
18;o,358,Bi,18,00
19;o,358,Bi,19,00
20;oO,358,311,20,00
21;oO,358,el,_oo
22;oO,358,311,e2_.oo
23;Oo,357,310,23,00
24;o,as7,310,24,00
25;Oo,357,310,25,00
26;oO,357,310,2b_00
27;o,7,3s,310,27,00
28;Oo,357,310,28,00
29;a,3s7,310,29,00
30;Oo,357,310,30,00
31;Oo,357,31,_oo
32;Oo,357,310,32,00
33;Oo,357,310,33,00
34;o,as7,310,34,oo
35;Oo,357,310,35,00
36;oO,357,310,3b,,00
37;o,7,3s,310,37,00
38;Oo,357,310,38,00
39;a,3s7,310,3900
40;oO,357,310,40_00
41;Oo,357,4!,oo
42;oO,357,310,42_00
43;oO,357,310,43,00
44;oO,357,310,4400
45;oO,357,310,4S_00
46;oO,357,310,4b_00
47;oO,357,310,47,00
48;oO,357,310,48_00
49;oO,357,310,4900
50;Oo,357,310,so_.o00
51;Oo,357,si,_oo
52;Oo,357,310,se_oo
53;Oo,357,310,$3,000
54;o,as7,310,s4¥_o00
55;Oo,357,310,ss_oo
56;oO,357,310,Sb_oo
57;o,7,3s,310,s?7_00
58;Oo,357,310,s6_.o00
59;a,3s7,310,s9_o0
60;oO,357,310,bo_oo
61;Oo,357,BI,_oo
62;oO,357,310,b2_o00
63;oO,357,310,b3_00
64;o,7,3s,310,bY,oo
65;oO,357,310,bS_oo
66;oO,357,310,bb_,oo
67;o,7,3s,310,b?_00
68;oO,357,310,be_,oo
69;o,7,3s,310,b9_00
70;oO,357,310,70,00
71;Oo,357,a,|,_oo
72;oO,357,310,72,00
73;oO,357,310,73,00
74;oO,357,310,7400
75;oO,357,310,75,00
76;oO,3s7,310,76,00
77;oO,357,310,77,00
78;oO,357,310,78,00
