frame;text
1;O,35b,309,oo
2;O,35b,309
3;O,35b,309
4;O,35b,309,_oo
5;O,35b,309
6;O,35b,309,_oo
7;O,35b,309,_oo
8;O,35b,309
9;O,35b,309,_oo
10;O,35b,309,10,00
11;O,35b,309,11,00
12;O,35b,309,12,00
13;O,35b,309,13,00
14;O,35b,309,14,00
15;O,35b,309,1S_o00
16;O,35b,309,1b,,00
17;O,3S5b,309,17,00
18;O,35b,309,18,00
19;O,3S5b,309,19,00
20;O,35b,309,20,00
21;O,35b,309,el,_oo
22;O,35b,309,e2_.oo
23;O,35b,309,23,00
24;O,35b,309,24,00
25;O,35b,309,25,00
26;O,35b,309,2b_00
27;O,35b,309,27,00
28;O,35b,309,28,00
29;O,35b,309,29_00
30;O,35b,309,30,00
31;O,35b,309,31,_oo
32;O,35b,309,32,00
33;O,35b,309,33,00
34;O,35b,309,34,oo
35;O,35b,309,35,00
36;O,35b,309,3b,_00
37;O,35b,309,37,00
38;O,35b,309,38,00
