frame;text
1;O,ATTACKAIRLW,ATTACKAIRLW,oo
2;O,ATTACKAIRLW,ATTACKAIRLW
3;O,ATTACKAIRLW,ATTACKAIRLW
4;O,ATTACKAIRLW,ATTACKAIRLW,_oo
5;O,ATTACKAIRLW,ATTACKAIRLW
6;O,ATTACKAIRLW,ATTACKAIRLW,_oo
7;O,ATTACKAIRLW,ATTACKAIRLW,_oo
8;O,ATTACKAIRLW,ATTACKAIRLW
9;O,ATTACKAIRLW,ATTACKAIRLW,_oo
10;oo"o1,MAMIVADVLIV,MIMIVADVLLIV,O
11;oo,MIMIVADVLLIV,AMAWIVvASvLiLlvy,O
12;O,ATTACKAIRLW,ATTACKAIRLW,12,00
13;O,ATTACKAIRLW,ATTACKAIRLW,13,00
14;oo"!,MAMIVADVLLIV,MAMIVADVLIVv,O
15;O,ATTACKAIRLW,ATTACKAIRLW,15,00
16;O,ATTACKAIRLW,ATTACKAIRLW,1b,00
17;O,ATTACKAIRLW,ATTACKAIRLW,17,00
18;O,ATTACKAIRLW,ATTACKAIRLW,16,00
19;O,ATTACKAIRLW,ATTACKAIRLW,19,00
20;O,ATTACKAIRLW,ATTACKAIRLW,20,00
21;O,ATTACKAIRLW,ATTACKAIRLW,el,_oo
22;O,ATTACKAIRLW,ATTACKAIRLW,e2_.oo
23;O,ATTACKAIRLW,ATTACKAIRLW,23,00
24;O,ATTACKAIRLW,ATTACKAIRLW,e4,oo
25;O,ATTACKAIRLW,ATTACKAIRLW,25,00
26;O,ATTACKAIRLW,ATTACKAIRLW,2b_00
27;O,ATTACKAIRLW,ATTACKAIRLW,e7,00
28;O,ATTACKAIRLW,ATTACKAIRLW,28,00
29;O,ATTACKAIRLW,ATTACKAIRLW,29,00
30;O,ATTACKAIRLW,ATTACKAIRLW,30,00
31;O,ATTACKAIRLW,ATTACKAIRLW,31,_oo
