frame;text
1;oO,343,247,oo
2;oO,343,247
3;oO,343,247
4;oO,343,247,_oo
5;oO,343,247
6;oO,343,247,_oo
7;oO,343,247,_oo
8;oO,343,247
9;oO,343,247,_oo
10;oO,343,297,10,00
11;oO,343,247,oo
12;oO,343,297,12,00
13;oO,343,297,13,00
14;oO,343,297,14,00
15;oO,343,297,1S_o00
16;oO,343,297,1b,,00
17;oO,343,2a?,17,00
18;Oo,347,2a9
19;Oo,347,2a9,oo
20;Oo,347,2a9
21;Oo,347,2a9
22;oO,35!,301,_oo
23;oO,35!,301
24;oO,35!,301,_oo
25;oO,35!,301,_oo
26;oO,35!,301
27;oO,35!,301,_oo
28;oO,3s!,301,10,00
29;
30;
31;
32;14,00
33;
34;
35;
36;
37;
38;oO,3s!,301,20,00
39;
40;oO,3s!,301,e2_.oo
41;oO,3s!,301,23,00
42;oO,35!,301,24,00
43;oO,3s!,301,25,00
44;oO,3s!,301,2b_00
45;oO,3s!,301,27,00
46;oO,3s!,301,28,00
47;oO,3s!,301,29_00
48;oO,3s!,301,30,00
49;oO,35!,301,_oo
50;oO,3s!,301,32,00
51;oO,3s!,301,33,00
52;
53;oO,3s!,301,35,00
54;
55;
56;re,.
57;oO,3s!,301,39,00
58;Oo,34b,302
59;Oo,34b,302,oo
60;Oo,34b,302
61;Oo,34b,302
62;Oo,34b,302,_oo
63;Oo,34b,302
64;Oo,34b,302,_oo
65;Oo,34b,302,_oo
66;Oo,34b,302
67;Oo,34b,302,_oo
68;Oo,34b,302,10,00
69;Oo,34b,302,oo
70;Oo,34b,302,12,00
71;Oo,34b,302,13,00
72;o,34b,302,14+,_oo,owt
73;Oo,34b,302,15,00,7?
74;Oo,34b,302,1b,00,_—s
75;Oo,34b,302,17,00
76;Oo,34b,302,16,00
77;Oo,34b,302,19,00,SS
78;Oo,34b,302,20,00
79;Oo,34b,302,el,_oo
80;Oo,34b,302,e2_.oo
81;Oo,34b,302,23,00
82;Oo,34b,302,e+,oo
83;Oo,34b,302,25,00
84;Oo,34b,302,2b_00
85;Oo,34b,302,27,00
86;Oo,34b,302,28,00
87;Oo,34b,302,29,00
88;Oo,34b,302,30,00
89;Oo,34b,302,31,_oo
90;Oo,34b,302,32,00
91;Oo,34b,302,33,00
