frame;text
1;Oo,355,308,oo
2;Oo,355,308
3;Oo,355,308
4;Oo,355,308,_oo
5;Oo,355,308
6;Oo,355,308,_oo
7;Oo,355,308,7,00
8;Oo,355,308,68,00
9;Oo,355,308,94,00
10;Oo,355,308,10,00
11;Oo,355,308,11,00
12;Oo,355,308,12,00,ys
13;Oo,355,308,13,00
14;Oo,355,308,14,00
15;Oo,355,308,15,00
16;Oo,355,308,1b,00
17;Oo,355,308,17,00
18;Oo,355,308,16,00
19;Oo,355,308,19,00
20;Oo,355,308,20,00
21;Oo,355,308,el,_oo
22;Oo,355,308,e2_.oo
23;Oo,355,308,23,00
24;Oo,355,308,e+,oo
25;Oo,355,308,25,00
26;Oo,355,308,2b_00
27;Oo,355,308,27,00
28;Oo,355,308,28,00
29;Oo,355,308,29,00
30;Oo,355,308,30,00
31;Oo,355,308,31,_oo
32;Oo,355,308,32,00
33;Oo,355,308,33,00
34;Oo,355,308,34,O00
35;Oo,355,308,35,00
36;Oo,355,308,3b,_00
37;Oo,355,308,37,00
38;Oo,355,308,38,00
