frame;text
1;Oo,34b,278,oo
2;Oo,34b,278
3;Oo,34b,278
4;Oo,34b,278,_oo
5;Oo,34b,278
6;Oo,34b,278,_oo
7;Oo,34b,278,_oo
8;Oo,34b,278
9;Oo,34b,278,_oo
10;O,34%b,298,10,00
11;O,34%b,298,11,00
12;
13;O,34%b,298,13,00
14;O,34%b,298,14,00
15;
16;O,34%b,298,1b,,00
17;
18;Oo,34b,18,00
19;O,34%b,298,19,00
20;Oo,34b,258,20,00
21;O,34%b,298,21,00
22;Oo,34b,258,e2_.oo
23;Oo,34b,258,23,00
24;O,34%b,298,24,00
25;Oo,34b,258,25,00
26;O,34%b,298,2b_00
27;O,34%b,298,27,00
28;Oo,34b,258,28,00
29;O,34%b,298,29_00
30;Oo,34b,258,30,00
31;Oo,34b,278,_oo
32;Oo,34b,258,32,00
33;Oo,34b,258,33,00
34;O,34%b,298,34,oo
