frame;text
1;o,350,302,oo
2;o,350,302
3;o,350,302
4;o,350,302,_oo
5;o,350,302
6;o,350,302,_oo
7;o,350,302,_oo
8;o,350,302
9;o,350,302,_oo
10;La,o,349,301,10,00
11;Oo,3494,301,oo
12;La,o,349,301,12,00
13;La,o,349,301,13,00
14;La,o,3449,301,14%,00
15;La,o,349,301,1S_o00
16;Oo,3494,301
17;La,o,3449,301,17,00
18;La,o,349,301,18,00
19;La,o,3449,301,19,00
20;20_00,Oo,3494
21;o,34a,3,301,21,00
22;o,349,301,22_00
23;o,349,301,23_00
24;o,34a,3,301,24,00
25;o,349,301,2s_o0
26;o,349,301,2b_00
27;o,34a,3,301,27,00
28;o,349,301,28_00
29;o,34a,3,301,29_00
30;o,349,301,30,00
31;Oo,3494,301,31,_oo
32;o,349,301,32,00
33;o,349,301,33,00
34;o,34a,3,301,34,oo
35;o,349,301,3s_o00
36;o,349,301,3b,,00
37;o,34a,3,301,37,00
38;o,349,301,38,00
39;o,34a,3,301,39,00
40;La,o,349,301,40,00
41;4,o,349,301,41,00
42;La,o,349,301,42,00
43;La,o,349,301,43,00
44;La,o,3449,301,4400
45;La,o,349,301,45,00
46;La,o,349,301,4b,,00
47;La,o,3449,301,47,00
48;La,o,349,301,48,00
49;La,o,3449,301,4900
50;o,349,301,so_oo
51;Oo,3494,301,si,_oo
52;o,349,301,s2_o00
53;o,349,301,s3_00
54;o,34a,3,301,s4¥_o00
55;o,349,301,ss_oo
56;o,349,301,Sb_oo
57;o,34a,3,301,s?7_00
58;o,349,301,se_oo
59;o,34a,3,301,s9_o00
60;o,349,301,bo_oo
61;Oo,3494,301,BI,_oo
62;o,349,301,b2_o00
63;o,349,301,b3_00
64;o,349,301,bY,oo
65;o,349,301,bS_oo
66;o,349,301,bb_,oo
67;o,349,301,b?_00
68;o,349,301,be_,oo
69;o,349,301,b9_00
70;La,o,3449,301,70_00
71;Oo,3494,301,a,|,_oo
72;La,o,3449,301,72_00
73;La,o,3449,301,73,00
74;La,o,3449,301,74_00
75;La,o,3449,301,75_00
76;La,o,349,301,7b,,00
77;La,o,3449,301,77_00
78;La,o,3449,301,78,00
