frame;text
1;O,ATTACKAIRF,ATTACKAIRF,oo
2;O,ATTACKAIRF,ATTACKAIRF
3;O,ATTACKAIRF,ATTACKAIRF
4;O,ATTACKAIRF,ATTACKAIRF,_oo
5;O,ATTACKAIRF,ATTACKAIRE
6;O,ATTACKAIRF,ATTACKAIRE,_oo
7;O,ATTACKAIRF,ATTACKAIRF,_oo
8;O,ATTACKAIRF,ATTACKAIRF
9;O,ATTACKAIRF,ATTACKAIRF,_oo
10;O,ATTACKAIRF,ATTACKAIRF,10,00
11;O,ATTACKAIRF,ATTACKAIRF,oo
12;O,ATTACKAIRF,ATTACKAIRF,12,00
13;O,ATTACKAIRF,ATTACKAIRF,13,00
14;O,ATTACKAIRF,ATTACKAIRF,14,00
15;O,ATTACKAIRF,ATTACKAIRF,15,00
16;O,ATTACKAIRF,ATTACKAIRF,1b,00
17;O,ATTACKAIRF,ATTACKAIRF,17,00
18;O,ATTACKAIRF,ATTACKAIRE,16,00
19;O,ATTACKAIRF,ATTACKAIRF,19,00
20;O,ATTACKAIRF,ATTACKAIRE,20,00
21;O,ATTACKAIRF,ATTACKAIRE,el,_oo
22;O,ATTACKAIRF,ATTACKAIRF,e2_.oo
23;O,ATTACKAIRF,ATTACKAIRF,23,00
24;O,ATTACKAIRF,ATTACKAIRF,e4,oo
25;O,ATTACKAIRF,ATTACKAIRF,25,00
26;O,ATTACKAIRF,ATTACKAIRF,2b_00
27;O,ATTACKAIRF,ATTACKAIRF,e7,00
28;O,ATTACKAIRF,ATTACKAIRF,28,00
29;O,ATTACKAIRF,ATTACKAIRF,29,00
30;O,ATTACKAIRF,ATTACKAIRF,30,00
31;O,ATTACKAIRF,ATTACKAIRF,31,_oo
32;O,ATTACKAIRF,ATTACKAIRF,32,00
33;O,ATTACKAIRF,ATTACKAIRF,33,00
34;O,ATTACKAIRF,ATTACKAIRF,34,_o00
35;O,ATTACKAIRF,ATTACKAIRF,35,00
36;O,ATTACKAIRF,ATTACKAIRF,3b,_00
37;O,ATTACKAIRF,ATTACKAIRF,37,00
38;O,ATTACKAIRF,ATTACKAIRF,38,00
39;O,ATTACKAIRF,ATTACKAIRF,39,00
40;O,ATTACKAIRF,ATTACKAIRF,40,00
41;O,ATTACKAIRF,ATTACKAIRF,4!,oo
42;O,ATTACKAIRF,ATTACKAIRF,42,00
43;O,ATTACKAIRF,ATTACKAIRF,43,00
44;O,ATTACKAIRF,ATTACKAIRF,44,_00
45;O,ATTACKAIRF,ATTACKAIRF,4+S_00
46;O,ATTACKAIRF,ATTACKAIRF,+b_OO
47;O,ATTACKAIRF,ATTACKAIRF,47,00
48;O,ATTACKAIRF,ATTACKAIRF,46,00
49;O,ATTACKAIRF,ATTACKAIRF,49,00
50;O,ATTACKAIRF,ATTACKAIRF,so_.o00
51;O,ATTACKAIRF,ATTACKAIRF,si,_oo
52;O,ATTACKAIRF,ATTACKAIRF,se_oo
53;O,ATTACKAIRF,ATTACKAIRF,$3,000
54;O,ATTACKAIRF,ATTACKAIRF,s4¥_o0o
55;O,ATTACKAIRF,ATTACKAIRF,ss_oo
56;O,ATTACKAIRF,ATTACKAIRF,Sb_oOo
57;O,ATTACKAIRF,ATTACKAIRF,s7_o00
58;O,ATTACKAIRF,ATTACKAIRF,s6_.o00
59;O,ATTACKAIRF,ATTACKAIRF,$900
60;O,ATTACKAIRF,ATTACKAIRF,bO_oOO0
61;O,ATTACKAIRF,ATTACKAIRF,BI,_oo
62;O,ATTACKAIRF,ATTACKAIRF,be,_oo
63;O,ATTACKAIRF,ATTACKAIRF,63,00
64;O,ATTACKAIRF,ATTACKAIRF,bY,OO
65;O,ATTACKAIRF,ATTACKAIRF,bS_oOo
66;O,ATTACKAIRF,ATTACKAIRF,bb,_OO
67;O,ATTACKAIRF,ATTACKAIRF,b7_oOO0
68;O,ATTACKAIRF,ATTACKAIRF,be,oOo
69;O,ATTACKAIRF,ATTACKAIRF,69,00
70;O,ATTACKAIRF,ATTACKAIRF,70,00
71;O,ATTACKAIRF,ATTACKAIRF,a,|,_oo
72;O,ATTACKAIRF,ATTACKAIRF,72,00
73;O,ATTACKAIRF,ATTACKAIRF,73,00
