frame;text
1;oO,34S,247,oo
2;oO,34S,247
3;oO,34S,247
4;oO,34S,247,_oo
5;oO,34S,247
6;oO,34S,247,_oo
7;oO,34S,247,_oo
8;oO,34S,247
9;oO,34S,247,_oo
10;oO,34s,297,10,00
11;oO,34S,247,oo
12;oO,34s,297,12,00
13;
14;oO,34s,297,14,00
15;
16;oO,34s,297,1b,,00
17;oO,34s,2a?,17,00
18;oO,34s,297,18,00
19;oO,34s,2a?,19,00
20;oO,34S,ea7,20,00
21;oO,34s,297,21,00
22;oO,34S,ea7,e2_.oo,L
23;oO,34S,ea7,23,00
24;oO,34s,297,24,00
25;oO,34S,ea7,25,00
26;oO,34s,297,2b_00
27;oO,34s,297,27,00
28;oO,34S,ea7,28,00
29;oO,34s,297,29_00
30;oO,34S,ea7,30,00
31;oO,34S,247,_oo
32;oO,34S,ea7,32,00
33;oO,34S,ea7,33,00
34;oO,34s,297,34,oo
