frame;text
1;O,3b8,322,oo
2;O,3b8,322
3;O,3b8,322
4;O,3b8,322,_oo
5;O,3b8,322
6;O,3b8,322,_oo
7;O,3b8
8;O,3b8,322
9;322,O,3b8
10;O,3b8,322,10,00
11;O,3b8,322,oo
12;O,3b8,322,12,00
13;O,3b8,322,13,00
14;O,3b8,322,14,00,.,.,e,.,,?,"\*,.,.,.,.,.,.,.,.,*,2),.,.,“oe,.,.,“48,»,*,.,.,.,s,.,.,.,.,.,.,.,.,.,.,.
15;O,3b8,322,15,00,.,.,*.,.,*",,**,.,.,®,“8,»,7,8,*.,-,.,.,.,"le,.,.,=.,°,"ye,‘,.,.,.,.,"Ce,.,.,.,.,.,.
16;O,3b8,322,1b,00
17;O,3b8,322,17,00
18;
19;O,3b8,322,19,00
20;O,3b8,322,20,00
21;O,3b8,322,el,_oo
22;O,3b8,322,e2_.oo
23;O,3b8,322,23,00
24;O,3b8,322,e+,oo
25;O,3b8,322,25,00
26;O,3b8,322,2b_00
27;O,3b8,322,27,00
28;O,3b8,322,28,00
29;O,3b8,322,29,00
30;O,3b8,322,30,00
31;O,3b8,322,31,_oo
32;O,3b8,322,32,00
33;O,3b8,322,33,00
34;O,3b8,322,34,O00
35;O,3b8,322,35,00
36;O,3b8,322,3b,_00
37;O,3b8,322,37,00
38;O,3b8,322,38,00
