frame;text
1;O,ATTACKLW4,ATTACKLW4,oo,LR
2;O,ATTACKLW4,ATTACKLW4,oo,LR
3;O,ATTACKLW4,ATTACKLW4,0,LR
4;O,ATTACKLW4,ATTACKLW4,LR
5;O,ATTACKLW4,ATTACKLW4,e-,4,oe?,_oo,LR
6;O,ATTACKLW4,ATTACKLW4
7;O,ATTACKLW4,ATTACKLW4,b,oo
8;O,ATTACKLW4,ATTACKLW4,_oo
9;O,ATTACKLW4,ATTACKLW4
10;O,ATTACKLW4,ATTACKLW4,_oo
11;O,ATTACKLW4,ATTACKLW4,10,00
12;O,ATTACKLW4,ATTACKLW4,_oo
13;O,ATTACKLW4,ATTACKLW4,12,00
14;O,ATTACKLW4,ATTACKLW4,13,00
15;O,ATTACKLW4,ATTACKLW4,14,00
16;O,ATTACKLW4,ATTACKLW4,15,00
17;O,ATTACKLW4,ATTACKLW4,1b,00
18;O,ATTACKLW4,ATTACKLW4,17,00
19;O,ATTACKLW4,ATTACKLW4,16,00
20;O,ATTACKLW4,ATTACKLW4,19,00
21;O,ATTACKLW4,ATTACKLW4,20,00
22;O,ATTACKLW4,ATTACKLW4,el,_oo
23;O,ATTACKLW4,ATTACKLW4,e2_.oo
24;O,ATTACKLW4,ATTACKLW4,23,00
25;O,ATTACKLW4,ATTACKLW4,e4,oo
26;O,ATTACKLW4,ATTACKLW4,25,00
27;O,ATTACKLUY,ATTACKLW4,2b_00
28;O,ATTACKLWY4,ATTACKLW4,27,00
29;O,ATTACKLW4,ATTACKLW4,28,00
30;O,ATTACKLWY4,ATTACKLW4,29,00
31;O,ATTACKLW4,ATTACKLW4,30,00
32;O,ATTACKLW4,ATTACKLW4,_oo
33;O,ATTACKLW4,ATTACKLW4,32,00
34;O,ATTACKLW4,ATTACKLW4,33,00
35;O,ATTACKLW4,ATTACKLW4,34,_o00
36;O,ATTACKLW4,ATTACKLW4,35,00
37;O,ATTACKLW4,ATTACKLW4,3b,_00
38;O,ATTACKLW4,ATTACKLW4,37,00
39;O,ATTACKLW4,ATTACKLW4,38,00
40;O,ATTACKLW4,ATTACKLW4,39,00
41;O,ATTACKLW4,ATTACKLW4,40,00
42;O,ATTACKLW4,ATTACKLW4,4!
43;O,ATTACKLW4,ATTACKLW4,42,00
44;O,ATTACKLW4,ATTACKLW4,43,00,LR
45;O,ATTACKLW4,ATTACKLW4,44,_00,LR
46;O,ATTACKLW4,ATTACKLW4,4+S_00,LR
47;O,ATTACKLW4,ATTACKLW4,+b_OO,LR
48;O,ATTACKLW4,ATTACKLW4,47,00,LR
49;O,ATTACKLW4,ATTACKLW4,46,00,LR
50;O,ATTACKLW4,ATTACKLW4,49,00,LR
51;O,ATTACKLW4,ATTACKLW4,so_.o00,LR
52;O,ATTACKLW4,ATTACKLW4,s!1.00,LR
53;O,ATTACKLW4,ATTACKLW4,se_oo,LR
54;O,ATTACKLW4,ATTACKLW4,$3,000,LR
55;O,ATTACKLW4,ATTACKLW4,s4¥_o0o,LR
56;O,ATTACKLW4,ATTACKLW4,ss_oo,LR
57;O,ATTACKLW4,ATTACKLW4,Sb_oOo,LR
58;O,ATTACKLW4,ATTACKLW4,s7_o00,LR
59;O,ATTACKLW4,ATTACKLW4,s6_.o00,LR
60;O,ATTACKLW4,ATTACKLW4,$900,LR
61;O,ATTACKLW4,ATTACKLW4,bO_oOO0,LR
62;O,ATTACKLW4,ATTACKLW4,b!I,o00,LR
63;O,ATTACKLW4,ATTACKLW4,be,_oo,LR
