frame;text
1;O,ATTACKS4S,ATTACKS4#S,oo,LR
2;O,ATTACKS4S,ATTACKS4#S,oo,LR
3;O,ATTACKS4S,ATTACKS4#S,LR
4;O,ATTACKS4S,ATTACKS4S,LR
5;O,ATTACKS4S,ATTACKS4S,_oo,LR
6;O,ATTACKS4S,ATTACKS4#S,LR
7;O,ATTACKS4S,ATTACKS4#S,_oo,LR
8;O,ATTACKS4S,ATTACKS4#S,_oo,LR
9;O,ATTACKS4S,ATTACKS4#S,LR
10;O,ATTACKS4S,ATTACKS4#S,_oo,LR
11;O,ATTACKS4S,ATTACKS4S,10,00,LR
12;O,ATTACKS4S,ATTACKS4#S,11.00,LR
13;O,ATTACKS4S,ATTACKS4S,12,00
14;O,ATTACKS4S,ATTACKS4S,13,00
15;oo"!,SHSHDVLLV,ShSaovilv,oO
16;oo"s!,ShHSADVLLIV,ShSaovilv,oO
17;O,ATTACKS4S,ATTACKS4S,1b,00
18;O,ATTACKS4S,ATTACKS4S,17,00
19;O,ATTACKS4S,ATTACKS4S,16,00
20;O,ATTACKS4S,ATTACKS4S,19,00
21;ers,oo"oe,ShHSADVLLIV,ShSaovilv,oO
22;O,ATTACKS4S,ATTACKS4S,el,_oo
23;O,ATTACKS4S,ATTACKS4S,e2_.oo
24;O,ATTACKS4S,ATTACKS4S,23,00
25;O,ATTACKS4S,ATTACKS4S,e4,oo
26;O,ATTACKS4S,ATTACKS4S,25,00
27;O,ATTACKS4S,ATTACKS4S,2b_00
28;O,ATTACKS4S,ATTACKS4S,e7,00
29;O,ATTACKS4S,ATTACKS4S,28,00
30;O,ATTACKS4S,ATTACKS4S,29,00
31;O,ATTACKS4S,ATTACKS4S,30,00
32;O,ATTACKS4S,ATTACKS4S,31,_oo
33;O,ATTACKS4S,ATTACKS4#S,32,00
34;O,ATTACKS4S,ATTACKS4#S,33,00
35;O,ATTACKS4S,ATTACKS4S,34,oo
36;O,ATTACKS4S,ATTACKS4#S,35,00
37;O,ATTACKS4S,ATTACKS4#S,3b,_00
38;O,ATTACKS4S,ATTACKS4S,37,00
39;O,ATTACKS4S,ATTACKS4S,38,00
40;O,ATTACKS4S,ATTACKS4S,39,00
41;O,ATTACKS4S,ATTACKS4S,40,00,LR
42;O,ATTACKS4S,ATTACKS4S,41.00,LR
43;O,ATTACKS4S,ATTACKS4S,42,00,LR
44;O,ATTACKS4S,ATTACKS4S,43,00,LR
45;O,ATTACKS4S,ATTACKS4S,44.00,LR
46;O,ATTACKS4S,ATTACKS4S,4+S_00,LR
47;O,ATTACKS4S,ATTACKS4S,+b_OO,LR
48;O,ATTACKS4S,ATTACKS#S,47,00,LR
