frame;text
1;O,CATCH,CATCH,LR
2;O,CATCH,CATCH,oo,LR
3;O,CATCH,CATCH,io,LR
4;O,CATCH,CATCH,LR
5;O,CATCH,CATCH,_oo,LR
6;O,CATCH,CATCH,LR
7;O,CATCH,CATCH,_oo,LR
8;O,CATCH,CATCH,_oo,LR
9;O,CATCH,CATCH,LR
10;O,CATCH,CATCH,_oo,LR
11;O,CATCH,CATCH,10,00,LR
12;O,CATCH,CATCH,11.00,LR
13;O,CATCH,CATCH,12,00,LR
14;O,CATCH,CATCH,13,00,LR
15;O,CATCH,CATCH,14.00,LR
16;O,CATCH,CATCH,15.00,LR
17;O,CATCH,CATCH,1b,00,LR
18;O,CATCH,CATCH,17,00,LR
19;O,CATCH,CATCH,168,00,LR
20;O,CATCH,CATCH,19,00,LR
21;O,CATCH,CATCH,20,00,LR
22;O,CATCH,CATCH,21,00,LR
23;O,CATCH,CATCH,22,00,LR
24;O,CATCH,CATCH,23,00,LR
25;O,CATCH,CATCH,24.00,LR
26;O,CATCH,CATCH,25,00,LR
27;O,CATCH,CATCH,26,00,LR
28;O,CATCH,CATCH,e7,00,LR
29;O,CATCH,CATCH,28,00,LR
