frame;text
1;O,ATTACKII,ATTACKI,1,oo
2;O,ATTACKII,ATTACKI,1,4
3;O,ATTACKII,ATTACKI,1
4;O,ATTACKII,ATTACKI,1,_oo
5;O,ATTACKII,ATTACKI,1
6;O,ATTACKII,ATTACKII,boo
7;O,ATTACKII,ATTACKII,7,00
8;O,ATTACKII,ATTACKI,1
9;O,ATTACKII,ATTACKI,1,_oo
10;O,ATTACKII,ATTACKI,1,10,00
11;O,ATTACKII,ATTACKI,1,oo
12;O,ATTACKII,ATTACKI,1,12,00
13;O,ATTACKII,ATTACKI,1,13,00
14;O,ATTACKII,ATTACKI,1,14,00
15;O,ATTACKII,ATTACKI,1,15,00
16;O,ATTACKII,ATTACKI,1,1b,00
17;O,ATTACKII,ATTACKII,17,00
18;O,ATTACKII,ATTACKI,1,16,00
19;O,ATTACKII,ATTACKII,19,00
20;O,ATTACKII,ATTACKI1,20_00
21;O,ATTACKII,ATTACKI,1,el,_oo
22;O,ATTACKII,ATTACKI1,22_00
23;O,ATTACKII,ATTACKI1,23_00
24;O,ATTACKII,ATTACKII,2400
25;O,ATTACKII,ATTACKII,2s_o0
26;O,ATTACKII,ATTACKI1,2b,_00
