frame;text
1;O,ATTACKAIRN,ATTACKAIRN,oo
2;O,ATTACKAIRN,ATTACKAIRN
3;O,ATTACKAIRN,ATTACKAIRN
4;O,ATTACKAIRN,ATTACKAIRN,_oo
5;O,ATTACKAIRN,ATTACKAIRN
6;O,ATTACKAIRN,ATTACKAIRN,b_oOOo
7;O,ATTACKAIRN,ATTACKAIRN,7,00
8;O,ATTACKAIRN,ATTACKAIRN
9;O,ATTACKAIRN,ATTACKAIRN,_oo
10;O,ATTACKAIRN,ATTACKAIRN,10,00,yg
11;O,ATTACKAIRN,ATTACKAIRN,oo
12;O,ATTACKAIRN,ATTACKAIRN,12,00
13;O,ATTACKAIRN,ATTACKAIRN,13,00
14;O,ATTACKAIRN,ATTACKAIRN,14,00
15;O,ATTACKAIRN,ATTACKAIRN,1S_.o00
16;O,ATTACKAIRN,ATTACKAIRN,1b,00
17;O,ATTACKAIRN,ATTACKAIRN,17,00
18;O,ATTACKAIRN,ATTACKAIRN,16,00
19;O,ATTACKAIRN,ATTACKAIRN,19,00
20;O,ATTACKAIRN,ATTACKAIRN,20,00
21;O,ATTACKAIRN,ATTACKAIRN,el,_oo
22;O,ATTACKAIRN,ATTACKAIRN,e2_.oo
23;O,ATTACKAIRN,ATTACKAIRN,23,00
24;00",2,NYIVADVLLIV,NMYIVaOVLLvY,O
25;oo"sa,NY,LVAIDVLLV,NMYIVaADVLIV,Oo
26;oo,"92,NYIVADVLLIV,NMYIVaOVLLvY,O
27;oo"2ea,NY,LVAIDVLLV,NMYIVaADVLIV,Oo
28;oo"B2,NY,LVAIDVLLV,NMYIVaADVLIV,Oo
29;00,"be,NY,LVAIDVLLV,NMYIVaADVLIV,Oo
30;00,"OE,NY,LVAIDVLLV,NMYIVaADVLIV,Oo
31;O,ATTACKAIRN,ATTACKAIRN,_oo
32;00,"2e,NY,LVAIDVLLV,NMYIVaADVLIV,Oo
33;00,"cE,NM,IVSDVLLV,NMYIVaADVLIV,Oo
34;00",hE,NYIVADVLLIV,NMYIVaOVLLvY,O
35;O,ATTACKAIRN,ATTACKAIRN,35,00
36;O,ATTACKAIRN,ATTACKAIRN,3b,_00
37;O,ATTACKAIRN,ATTACKAIRN,37,00
38;O,ATTACKAIRN,ATTACKAIRN,38,00
39;O,ATTACKAIRN,ATTACKAIRN,39,00
40;O,ATTACKAIRN,ATTACKAIRN,40,00
41;O,ATTACKAIRN,ATTACKAIRN,4!,oo
42;O,ATTACKAIRN,ATTACKAIRN,42,00
43;O,ATTACKAIRN,ATTACKAIRN,43,00
44;O,ATTACKAIRN,ATTACKAIRN,44,_00
45;O,ATTACKAIRN,ATTACKAIRN,4+S_00
46;O,ATTACKAIRN,ATTACKAIRN,+b_OO
47;O,ATTACKAIRN,ATTACKAIRN,47,00
48;O,ATTACKAIRN,ATTACKAIRN,46,00
