frame;text
1;Oo,3494,303,oo,LR
2;Oo,3494,303,LR
3;Oo,3494,303,LR
4;Oo,3494,303,_oo,LR
5;Oo,3494,303,LR
6;Oo,3494,303,_oo,LR
7;Oo,3494,303,_oo,LR
8;Oo,3494,303,LR
9;Oo,3494,303,_oo,LR
10;Oo,3494,303,10,00,LR
11;Oo,3494,303,11.00,LR
12;Oo,3494,303,12,00,LR
13;Oo,3494,303,13,00,LR
14;Oo,3494,303,14,00,LR
15;Oo,3494,303,15,00,LR
16;o,349,303,Ib,0O,=LR
17;o,349,303,17,00,LR
18;Oo,3494,303,16,00,LR
19;o,349,303,19.00,LR
20;Oo,3494,303,20,00,LR
21;o,349,303,21,00,LR,a*
22;Oo,3494,303,e2_.oo,LR
23;Oo,3494,303,23,00,LR
24;o,349,303,24.00,LR
25;Oo,3494,303,25,00,LR
26;Oo,3494,303,2b_00,LR
27;o,349,303,27,00,LR
28;Oo,3494,303,28,00,LR
