frame;text
1;O,3b?,32!,oo
2;O,3b?,32!
3;O,3b?,32!
4;oo,32!,O,3b?
5;O,3b?,32!
6;O,3b?,32!,_oo
7;O,3b?,32!,_oo
8;O,3b?,32!
9;32!,O,3b?
10;O,3b7,B21,10,00
11;O,3b7,B21,11,00
12;O,3b7,B21,12,00
13;O,3b7,B21,13,00
14;O,3b7,B21,14,00
15;O,3b7,B21,1S_o00
16;O,3b7,B21,1b,,00
17;_oo,17,32!,O,3b?
18;
19;O,3b7,B21,19,00
20;O,3b?,32!,20,00
21;O,3b?,32!,el,_oo
22;O,3b?,32!,e2_.oo
23;O,3b?,32!,23,00
24;o,7,3b,B21,24,00
25;O,3b?,32!,25,00
26;O,3b7,B21,2b_00
27;o,7,3b,B21,27,00
28;O,3b?,32!,28,00
29;o,7,3b,B21,29_00
30;O,3b?,32!,30,00
31;O,3b?,32!,31,_oo
32;O,3b?,32!,32,00
33;O,3b?,32!,33,00
34;o,7,3b,B21,34,oo
35;O,3b?,32!,35,00
36;O,3b7,B21,3b,,00
37;o,7,3b,B21,37,00
38;O,3b?,32!,38,00
