frame;text
1;Oo,359,oo
2;Oo,359
3;Oo,359
4;Oo,359,_oo
5;Oo,359
6;Oo,359,_oo
7;Oo,359,_oo
8;Oo,359
9;Oo,359,_oo
10;o,359,B12,10,00
11;Oo,359,oo
12;o,359,B12,12,00
13;o,359,B12,13,00
14;o,359,B12,14,00
15;o,359,B12,1S_o00
16;o,359,B12,1b,,00
17;o,359,B12,17,00
18;o,359,B12,18,00
19;o,359,B12,19,00
20;o,359,312,20,00
21;_oo,12,Oo,359
22;o,359,312,e2_.oo
23;o,359,312,23,00
24;o,359,as,B12,24,00
25;o,359,312,25,00
26;o,359,B12,2b_00
27;o,359,as,B12,27,00
28;o,359,312,28,00
29;o,359,as,B12,29_00
30;o,359,312,30,00
31;Oo,359,31,_oo
32;o,359,312,32,00
33;o,359,312,33,00
34;o,359,as,B12,34,oo
35;o,359,312,35,00
36;o,359,B12,3b,,00
37;o,359,as,B12,37,00
38;o,359,312,38,00
39;o,359,as,B12,39,00
40;O,WAIT,WAIT!,LR
