frame;text
1;O,ATTACKLW4,ATTACKLW4,oo,LR
2;O,ATTACKLW4,ATTACKLW4,oo,LR
3;O,ATTACKLW4,ATTACKLW4,LR
4;O,ATTACKLW4,ATTACKLW4,LR
5;O,ATTACKLW4,ATTACKLW4,_oo,LR
6;O,ATTACKLW4,ATTACKLW4,LR
7;O,ATTACKLW4,ATTACKLW4,_oo,LR
8;O,ATTACKLW4,ATTACKLW4,_oo,LR
9;O,ATTACKLW4,ATTACKLW4,LR
10;O,ATTACKLW4,ATTACKLW4,_oo,LR
11;O,ATTACKLW4,ATTACKLW4,10,00,LR
12;O,ATTACKLW4,ATTACKLW4,11.00,LR
13;O,ATTACKLW4,ATTACKLW4,12,00,LR
14;O,ATTACKLW4,ATTACKLW4,13,00,LR
15;O,ATTACKLW4,ATTACKLW4,14,00,LR
16;O,ATTACKLW4,ATTACKLW4,15,00,LR
17;O,ATTACKLW4,ATTACKLW4,1b,00,LR
18;O,ATTACKLW4,ATTACKLW4,17,00,LR
19;O,ATTACKLW4,ATTACKLW4,16,00,LR
20;O,ATTACKLW4,ATTACKLW4,19,00,LR
21;O,ATTACKLW4,ATTACKLW4,20,00,LR
22;O,ATTACKLW4,ATTACKLW4,21,00,LR
23;O,ATTACKLW4,ATTACKLW4,e2_.oo,LR
24;O,ATTACKLW4,ATTACKLW4,23,00,LR
25;O,ATTACKLW4,ATTACKLW4,e4,oo,LR
26;O,ATTACKLW4,ATTACKLW4,2s_o0,LR
27;O,ATTACKLW4,ATTACKLW4,2b_00,LR
28;O,ATTACKLW4,ATTACKLW4,e7,00,LR,~~
29;O,ATTACKLW4,ATTACKLW4,28,00,LR
30;O,ATTACKLW4,ATTACKLW4,29,00,LR
31;O,ATTACKLW4,ATTACKLW4,30,00,LR
32;O,ATTACKLW4,ATTACKLW4,31,00,LR
33;O,ATTACKLW4,ATTACKLW4,32,00,LR
34;O,ATTACKLW4,ATTACKLW4,33,00,LR
35;O,ATTACKLW4,ATTACKLW4,34,_o00,LR
36;O,ATTACKLW4,ATTACKLW4,35,00,LR
37;O,ATTACKLW4,ATTACKLW4,3b,_00,LR
38;O,ATTACKLW4,ATTACKLW4,37,00,LR
39;O,ATTACKLW4,ATTACKLW4,38,00,LR
40;O,ATTACKLW4,ATTACKLW4,39,00,LR
41;O,ATTACKLW4,ATTACKLW4,40,00,LR
42;O,ATTACKLW4,ATTACKLW4,41.00,LR
43;O,ATTACKLW4,ATTACKLW4,42,00,LR
44;O,ATTACKLW4,ATTACKLW4,43,00,LR
45;O,ATTACKLW4,ATTACKLW4,44,_00,LR
46;O,ATTACKLW4,ATTACKLW4,4+S_00,LR
47;O,ATTACKLW4,ATTACKLW4,+b_OO,LR
48;O,ATTACKLW4,ATTACKLW4,47,00,LR
49;O,ATTACKLW4,ATTACKLW4,46,00,LR
50;O,ATTACKLW4,ATTACKLW4,49,00,LR
51;O,ATTACKLW4,ATTACKLW4,so_.o00,LR
52;O,ATTACKLW4,ATTACKLW4,s!1.00,LR
53;O,ATTACKLW4,ATTACKLW4,se_oo,LR
54;O,ATTACKLW4,ATTACKLW4,$3,000,LR
55;O,ATTACKLW4,ATTACKLW4,s4¥_o0o,LR
56;O,ATTACKLW4,ATTACKLW4,ss_oo,LR
57;O,ATTACKLW4,ATTACKLW4,Sb_oOo,LR
58;O,ATTACKLW4,ATTACKLW4,s7_o00,LR
