frame;text
1;O,ATTACKAIRF,ATTACKAIRE,oo
2;O,ATTACKAIRF,ATTACKAIRE
3;O,ATTACKAIRF,ATTACKAIRE
4;O,ATTACKAIRF,ATTACKAIRE,_oo
5;O,ATTACKAIRF,ATTACKAIRE
6;O,ATTACKAIRF,ATTACKAIRE,_oo
7;O,ATTACKAIRF,ATTACKAIRE,_oo
8;O,ATTACKAIRF,ATTACKAIRE
9;O,ATTACKAIRF,ATTACKAIRE,_oo
10;O,ATTACKAIRF,ATTACKAIRE,10,00
11;O,ATTACKAIRF,ATTACKAIRE,oo
12;O,ATTACKAIRF,ATTACKAIRE,12,00
13;O,ATTACKAIRF,ATTACKAIRE,13,00
14;O,ATTACKAIRF,ATTACKAIRFE,14,00
15;O,ATTACKAIRF,ATTACKAIRE,15,00
16;O,ATTACKAIRF,ATTACKAIRFE,1b,00
17;O,ATTACKAIRF,ATTACKAIRE,17,00
18;O,ATTACKAIRF,ATTACKAIRE,16,00
19;O,ATTACKAIRF,ATTACKAIRE,19,00
20;O,ATTACKAIRF,ATTACKAIRE,20,00
21;O,ATTACKAIRF,ATTACKAIRE,el,_oo
22;oo"ze,JMIVADVLLV,JMIVaDVLIv,oO
23;oo"cea,JMIVADVLLV,JMIVaDVLIv,oO
24;00",2,JMIVAIDVLIV,JMIVADVLIV,O
25;O,ATTACKAIRF,ATTACKAIRE,25,00
26;O,ATTACKAIRF,ATTACKAIRE,2b_00
27;oo"2ea,JMIVADVLLV,JMIVaDVLIv,oO
28;O,ATTACKAIRF,ATTACKAIRF,28,00
29;O,ATTACKAIRF,ATTACKAIRE,29,00
30;O,ATTACKAIRF,ATTACKAIRE,30,00
31;O,ATTACKAIRF,ATTACKAIRE,31,_oo
32;00,"2e,JMIVADVLLV,JMIVaDVLIv,oO
33;O,ATTACKAIRF,ATTACKAIRE,33,00
34;O,ATTACKAIRF,ATTACKAIRE,34,_o00
35;O,ATTACKAIRF,ATTACKAIRE,35,00
36;O,ATTACKAIRF,ATTACKAIRF,3b,_00
37;oo,"ze,JSMIVAIDVLLV,suIVaADVLIv,O
38;00,"BE,JSMIVAIDVLLV,suIVaADVLIv,O
