frame;text
1;oO,34!,eas,oo,LR
2;oO,34!,eas,LR
3;oO,34!,eas,LR
4;oO,34!,eas,_oo,LR
5;oO,34!,eas,LR
6;oO,34!,eas,_oo,LR
7;oO,34!,eas,_oo,LR
8;oO,34!,eas,LR
9;oO,34!,eas,_oo,LR
10;oO,34!,295,10,00,LR
11;oO,34!,2955,11.00,LR
12;oO,34!,295,12,00,LR
13;oO,34!,295,13,00,LR
14;oO,34I,29s,14%,00,LR
15;oO,34!,295,15.00,LR
16;oO,34!,295,1b.00,LR
17;oO,341,29s,17,00,LR
18;oO,342,25b,LR
19;oO,342,25b,oo,LR
20;oO,342,25b,LR
21;oO,342,25b,LR
22;oO,342,25b,_oo,LR
23;oO,342,25b,LR
24;oO,342,25b,_oo,LR
25;oO,342,25b,_oo,LR
