frame;text
1;oO,35!,30S,oo,LR
2;oO,35!,30S,LR
3;oO,35!,30S,LR
4;oO,35!,30S,_oo,LR
5;oO,35!,30S,LR
6;oO,35!,30S,_oo,LR
7;oO,35!,30S,_oo,LR
8;oO,35!,30S,LR
9;oO,35!,30S,_oo,LR
10;oO,3s!,305,10,00,LR
11;oO,35!,305,11.00,LR
12;oO,3s!,305,12,00,LR
13;oO,3s!,305,13,00,LR
14;oO,35!,305,14,00,LR
15;oO,3s!,305,15,00,LR
16;oO,3s!,305,1b,00,LR
17;oO,35!,305,17,00,LR
18;oO,3s!,305,16,00,LR
19;oO,35!,305,19,00,LR
20;oO,3s!,30S,20,00,LR
21;oO,3s!,305,21,00,LR
22;oO,3s!,30S,e2_.oo,LR
23;oO,3s!,30S,23,00,LR
24;oO,3s!,305,e4,oo,LR
25;oO,3s!,30S,25,00,LR
26;oO,3s!,30S,2b_00,LR
27;oO,3s!,305,27,00,LR
28;oO,3s!,30S,28,00,LR
29;oO,3s!,305,29,00,LR
30;oO,3s!,305,30,00,LR
31;oO,3s!,305,31,00,LR
32;oO,3s!,305,32,00,LR
33;oO,3s!,305,33,00,LR
34;oO,3s!,305,34,_o00,LR
35;oO,3s!,305,35,00,LR
36;oO,3s!,305,3b,_00,LR
37;oO,3s!,305,37,00,LR
38;oO,3s!,305,38,00,LR
39;oO,3s!,305,39,00,LR
40;oO,3s!,305,40,00,LR
41;oO,35!,305,41,00,LR
42;oO,3s!,305,42,00,LR
43;oO,3s!,305,43,00,LR
44;oO,3s!,30S,44,00,LR
45;oO,3s!,305,4+S_00,LR
46;oO,3s!,305,+b_OO,LR
47;oO,3s!,30S,47,00,LR
48;oO,3s!,305,46,00,LR
49;oO,3s!,30S,49,00,LR
50;oO,3s!,30S,so_.o00,LR
51;oO,3s!,305,s!1.00,LR
52;oO,3s!,30S,se_oo,LR
53;oO,3s!,30S,$3,000,LR
54;oO,3s!,305,s4¥_o0o,LR
