frame;text
1;O,EXCAPE,ESCAPEN,oo
2;O,EXCAPE,ESCAPEN,oo
3;O,EXCAPE,ESCAPEN
4;O,EXCAPE,ESCAPEN
5;O,EXCAPE,ESCAPEN,_oo
6;O,EXCAPE,ESCAPEN
7;O,EXCAPE,ESCAPEN,_oo
8;O,EXCAPE,ESCAPEN,_oo
9;O,EXCAPE,ESCAPEN
10;O,EXCAPE,ESCAPEN,_oo
11;O,EXCAPE,ESCAPEN,10,00
12;O,EXCAPE,ESCAPEN,oo
13;O,EXCAPE,ESCAPEN,12,00
14;O,EXCAPE,ESCAPEN,13,00
15;O,EXCAPE,ESCAPEN,14,00
16;O,EXCAPE,ESCAPEN,15,00
17;O,ESCAPE,ESCAPEN,1b,,00
18;O,EXCAPE,ESCAPEN,17,00
19;O,EXCAPE,ESCAPEN,16,00
20;O,EXCAPE,ESCAPEN,19,00
21;O,EXCAPE,ESCAPEN,20,00
22;O,EXCAPE,ESCAPEN,el,_oo
23;O,EXCAPE,ESCAPEN,e2_.oo
24;O,EXCAPE,ESCAPEN,23,00
25;O,EXCAPE,ESCAPEN,e4,oo
26;O,EXCAPE,ESCAPEN,25,00
27;O,EXCAPE,ESCAPEN,2b_00
28;O,EXCAPE,ESCAPEN,e7,00
29;O,EXCAPE,ESCAPEN,28,00
30;O,EXCAPE,ESCAPEN,29,00
31;O,EXCAPE,ESCAPEN,30,00
32;O,EXCAPE,ESCAPEN,31,_oo
33;O,EXCAPE,ESCAPEN,32,00
34;O,EXCAPE,ESCAPEN,33,00
35;O,EXCAPE,ESCAPEN,34,_o00
36;O,EXCAPE,ESCAPEN,35,00
