frame;text
1;Oo,348,ATTACKAIRB,oo
2;Oo,348,ATTACKAIRB
3;Oo,348,ATTACKAIRB
4;Oo,348,ATTACKAIRB,_oo
5;Oo,348,ATTACKAIRB
6;Oo,348,ATTACKAIRB,_oo
7;Oo,348,ATTACKAIRB,_oo
8;Oo,348,ATTACKAIRB
9;Oo,348,ATTACKAIRB,_oo
10;oO,348,ATTACKAIRB,10,00
11;Oo,348,ATTACKAIRB,oo
12;oO,348,ATTACKAIRB,12,00
13;oO,348,ATTACKAIRB,13,00
14;0,348,ATTACKAIRB,14,00
15;oO,348,ATTACKAIRB,1S_o00
16;oO,348,ATTACKAIRB,1b,,00
17;0,348,ATTACKAIRB,17,00
18;oO,348,ATTACKAIRB,18,00
19;0,348,ATTACKAIRB,19,00
20;Oo,348,ATTACKAIRB,20,00
21;Oo,348,ATTACKAIRB,el,_oo
22;oo"ze,BUIVADVLLV,BHE,Oo
23;oo"cea,BUIVADVLLV,BHE,Oo
24;00",2,BYIVADVLIV,Bne,O
25;oo"sa,BUIVADVLLV,BHE,Oo
26;oo,"92,BYIVADVLIV,Bne,O
27;oo"2ea,BUIVADVLLV,BHE,Oo
28;oo"B2,BUIVADVLLV,BHE,Oo
29;00,"be,BUIVADVLLV,BHE,Oo
30;00,"OE,BUIVADVLLV,BHE,Oo
31;o,348,ATTACKAIRB,31,_oo
32;00,"2e,BUIVADVLLV,BHE,Oo
33;00,"cE,BUIVADVLLV,BHE,Oo
34;00",hE,BYIVADVLIV,Bne,O
35;00,"se,BUIVADVLLV,BHE,Oo
36;00,"Se,BYIVADVLIV,Bne,O
37;oo,"ze,BUIVADVLLV,BHE,Oo
38;00,"BE,BUIVADVLLV,BHE,Oo
