frame;text
1;Oo,37S,oo
2;Oo,37S
3;Oo,37S
4;Oo,37S,_oo
5;Oo,37S
6;Oo,37S,_oo
7;Oo,37S,_oo
8;Oo,37S
9;Oo,37S,_oo
10;oO,375,B17,10,00
11;Oo,37S,oo
12;oO,375,B17,12,00
13;oO,375,B17,13,00
14;oO,375,B17,14,00
15;oO,375,B17,1S_o00
16;oO,375,B17,1b,,00
17;0,375,317,17,00
18;oO,375,B17,18,00
19;oO,37S,317,19,00
20;Oo,37S,317,20,00
21;Oo,37S,el,_oo
22;Oo,37S,317,e2_.oo
23;Oo,37S,317,23,00
24;oO,375,B17,24,00
25;Oo,37S,317,25,00
26;oO,375,B17,2b_00
27;oO,375,B17,27,00
28;Oo,37S,317,28,00
29;oO,375,B17,29_00
30;Oo,37S,317,30,00
31;Oo,37S,_oo
32;Oo,37S,317,32,00
33;Oo,37S,317,33,00
34;oO,375,B17,34,oo
35;Oo,37S,317,35,00
36;oO,375,B17,3b,,00
37;oO,375,B17,37,00
38;Oo,37S,317,38,00
39;oO,375,B17,39,00
40;oO,375,B17,40_00
41;Oo,37S,4!,oo
42;oO,375,B17,42_00
43;oO,375,B17,43,00
44;oO,375,B17,4400
45;oO,375,B17,4S_00
46;oO,375,B17,4b_00
47;oO,37S,317,47,00
48;oO,375,B17,48_00
