frame;text
1;oO,34S,ATTACKLW3,oo
2;oO,34S,ATTACKLW3
3;oO,34S,ATTACKLW3
4;oO,34S,ATTACKLW3,_oo
5;oO,34S,ATTACKLW3
6;oO,34s,ATTACKLWA,b_oo
7;oO,34s,ATTACKLWA,7,00
8;oO,34s,ATTACKLWA,8,00
9;oO,34s,ATTACKLWA,9_o00
10;oO,34s,ATTACKLWA,10,00
11;oO,34S,ATTACKLW3,11.00
12;oO,34s,ATTACKLWA,12,00
13;oO,34s,ATTACKLWA,13,00
14;oO,34s,ATTACKLWA,14,00
15;oO,34s,ATTACKLWA,1S_o00
16;oO,34s,ATTACKLW3,1b,,00
17;oO,34s,ATTACKLW3,17,00
18;oO,34s,ATTACKLW3,18,00
19;oO,34s,ATTACKLW3,19,00
20;oO,34s,ATTACKLW3,20_00
21;oO,34S,ATTACKLW3,el,_oo
22;oO,34s,ATTACKLW3,22_00
23;oO,34s,ATTACKLW3,23_00
24;oO,34s,ATTACKLW3,24,00
25;oO,34s,ATTACKLW3,2s_o0
26;oO,34s,ATTACKLW3,2b_00
27;oO,34s,ATTACKLW3,27,00
28;oO,34s,ATTACKLW3,28_00
