frame;text
1;Oo,34b,ATTACKS4S,oo
2;Oo,34b,ATTACKS4S,oo
3;Oo,34b,ATTACKS4S
4;Oo,34b,ATTACKS4S
5;Oo,34b,ATTACKS4S,_oo
6;Oo,34b,ATTACKS4S
7;Oo,34b,ATTACKS4S
8;Oo,34b,ATTACKS4S,_oo
9;Oo,34b,ATTACKS4S
10;Oo,34b,ATTACKS4S,_oo
11;O,34%b,ATTACKS4S,10,00
12;Oo,34b,ATTACKS4S
13;O,34%b,ATTACKS4S,12,00
14;O,34%b,ATTACKS4S,13,00
15;O,34%b,ATTACKS4S,14,00
16;O,34%b,ATTACKS4S,1S_o00,=e
17;O,34%b,ATTACKS4S,1b,,00
18;O,34%b,ATTACKS4S,17,00
19;oo"s!,SHSADVLIV,GHE,O
20;O,34%b,ATTACKS4¥S,19,00
21;Oo,34b,ATTACKS4S,20,00
22;Oo,34b,ATTACKS4S,el,_oo
23;Oo,34b,ATTACKS4S,e2_.oo
24;Oo,34b,ATTACKS4S,23,00
25;Oo,34b,ATTACKS4S,e4,oo
26;Oo,34b,ATTACKS4S,25,00
27;Oo,34b,ATTACKS4S,2b_00
28;Oo,34b,ATTACKS4S,e7,00
29;Oo,34b,ATTACKS4S,28,00
30;Oo,34b,ATTACKS4S,29,00
31;Oo,34b,ATTACKS4S,30,00
32;Oo,34b,ATTACKS4S,31,_oo
33;Oo,34b,ATTACKS4S,32,00
34;Oo,34b,ATTACKS4S,33,00
35;O,34%b,ATTACKS4S,34,oo
36;Oo,34b,ATTACKS4S,35,00
37;Oo,34b,ATTACKS4S,3b,_00
38;O,34%b,ATTACKS4S,37,00
39;Oo,34b,ATTACKS4S,38,00
40;O,34%b,ATTACKS4S,39,00
41;O,34%b,ATTACKS4S,40_00
42;Oo,34b,ATTACKS4S,4!
43;O,34%b,ATTACKS4S,42_00
