frame;text
1;Oo,347,ATTACKAIRN,oo
2;Oo,347,ATTACKAIRN
3;Oo,347,ATTACKAIRN
4;Oo,347,ATTACKAIRN,_oo
5;Oo,347,ATTACKAIRN
6;Oo,347,ATTACKAIRN,_oo
7;Oo,347,ATTACKAIRN,_oo
8;Oo,347,ATTACKAIRN
9;Oo,347,ATTACKAIRN,_oo
10;oO,347,AT/TACKAIR,10,00
11;Oo,347,AT/TACKAIP,oo
12;oO,347,AT/TACKAIR,12,00
13;oO,347,AT/TACKAIR,13,00
14;oO,347,AT/TACKAIP,14,00
15;oO,347,AT/TACKAIR,1S_o00
16;oO,347,AT/TACKAIR,1b,,00
17;oO,347,AT/TACKAIP,17,00
18;oO,347,AT/TACKAIR,18,00
19;oO,347,AT/TACKAIP,1900
20;Oo,347
21;Oo,347,_oo
22;Oo,347
23;Oo,347
24;Oo,347
25;Oo,347
26;Oo,347
27;Oo,347
28;Oo,347
29;Oo,347
30;oO,347,ATTACKAIRN,30,00
31;Oo,347,ATTACKAIRN,31,_oo
32;oO,347,ATTACKAIRN,32.00
33;oO,347,ATTACKAIRN,33,00
34;oO,347,ATTACKAIRN,3400
35;oO,347,ATTACKAIRN,35_o00
36;oO,347,ATTACKAIRN,3b,,00
37;Oo,347,ATTACKAIRN,37,00
38;oO,347,ATTACKAIRN,38.00
39;Oo,347,ATTACKAIRN,39,00
40;oO,347,ATTACKAIRN,40_00
41;Oo,347,ATTACKAIRN,4!,oo
42;oO,347,ATTACKAIRN,42_00
43;oO,347,ATTACKAIRN,4300
