frame;text
1;Oo,353,eas,oo
2;Oo,353,eas
3;Oo,353,eas
4;Oo,353,eas,_oo
5;Oo,353,eas
6;Oo,353,eas,_oo
7;Oo,353,eas,_oo
8;Oo,353,eas
9;Oo,353,eas,_oo
10;Oo,353,e955,10,00
11;Oo,353,eas,oo
12;Oo,353,e955,12,00
13;Oo,353,e955,13,00
14;oO,353,295,14,00
15;Oo,353,e955,15,00
16;oO,353,295,1b,,00
17;oO,353,295,17,00
18;Oo,353,e955,16,00
19;oO,353,295,19,00
20;Oo,353,e955,20,00
21;Oo,353,e955,21,00
22;Oo,353,e955,e2_.oo
23;m,ui,m,Qo
24;Oo,353,e955,e+,oo
25;2s_o0,eas,Oo,353
26;Oo,353,e955,2b_00
27;Oo,353,e955,27,00
28;Oo,353,e955,28,00
29;Oo,353,e955,29,00
30;Oo,353,e955,30,00
31;Oo,353,eas,_oo
32;Oo,353,e955,32,00
33;Oo,353,e955,33,00
34;Oo,353,e955,34,O00
35;Oo,353,e955,35,00
36;Oo,353,e955,3b,_00
37;Oo,353,e955,37,00
38;Oo,353,e955,38,00
39;Oo,353,e955,39,00
40;Oo,353,e955,40,00
41;Oo,353,e905,41,00
42;Oo,353,e955,42,00
43;Oo,353,e955,43,00
44;oO,353,295,4400
45;Oo,353,e955,4+S_00
46;oO,353,295,4b_00
47;oO,353,295,47,00
48;Oo,353,e955,46,00
