frame;text
1;O,3be2,304,oo
2;O,3be2,304
3;O,3be2,304
4;O,3be2,304,_oo
5;O,3be2,304
6;O,3be2,304,_oo
7;O,3be2,304,_oo
8;O,3be2,304
9;O,3be2,304,_oo
10;O,3b2,304,10,00
11;O,3be2,304,oo
12;O,3b2,304,12,00
13;O,3b2,304,13,00
14;O,3b2,304,14,00
15;O,3b2,304,1S_o00
16;O,3be2
17;O,3be2
18;O,3be2
19;O,3be2
20;O,3be2
21;O,3be2
22;O,3be2
23;O,3be2,304
24;O,3be2
25;O,3be2,304,25,00
26;O,3be2,304,2b_00
27;O,3b2,304,27,00,-*
28;O,3be2,304,28,00
29;O,3b2,304,29_00
30;O,3be2,304,30,00
31;O,3be2,304
32;O,3be2,304,32,00
33;O,3be2,304,33,00
34;O,3b2,304,34,oo
35;O,3be2,304,35,00
36;O,3be2,304,3b,_00
37;O,3b2,304,37,00
38;O,3be2,304,38,00
39;O,3b2,304,39,00
40;O,3b2,304,40_00
41;O,3be2,304,4!,oo
42;O,3b2,304,42_00
43;O,3b2,304,43,00
44;O,3b2,304,4400
45;O,3b2,304,4S_00
46;O,3b2,304,4b_00
47;O,3b2,304,47,00
48;O,3b2,304,48_00
