frame;text
1;Oo,3494,ATTACKAIRHI,oo
2;Oo,3494,ATTACKAIRHI
3;Oo,3494,ATTACKAIRHI
4;Oo,3494,ATTACKAIRHI,_oo
5;Oo,3494,ATTACKAIRHI
6;Oo,3494,ATTACKAIRHI,_oo
7;Oo,3494,ATTACKAIRHI,_oo
8;Oo,3494,ATTACKAIRHI
9;Oo,3494,ATTACKAIRHI,_oo
10;oO,3449,ATTACKAIRHI,10,00
11;Oo,3494,ATTACKAIRHI,oo
12;oO,3449,ATTACKAIRHI,12,00
13;oO,3449,ATTACKAIRHI,13,00
14;oO,3449,ATTACKAIRHI,14,00
15;o,349,ATTACKAIRHI,15.00
16;o,349,ATTACKAIRHI,1b,O00
17;oO,3449,ATTACKAIRHI,17,00
18;o,349,ATTACKAIRHI,18,00
19;oO,3449,ATTACKAIRHI,19_00
20;o,3449,ATTACKAIRHI,20,00
21;Oo,3494,ATTACKAIRHI,el,_oo
22;o,34a,ATTACKAIRHI,22_00
23;o,3449,ATTACKAIRHI,23,00
24;Oo,3449,ATTACKAIRHI,e4,oo
25;o,3449,ATTACKAIRHI,2s_o00
26;o,3449,ATTACKAIRHI,2b_00
27;Oo,3449,ATTACKAIRHI,e7,00
28;o,3449,ATTACKAIRHI,28,00
29;Oo,3449,ATTACKAIRHI,29,00
30;o,3449,ATTACKAIRHI,30,00
31;Oo,3494,ATTACKAIRHI,31,_oo
32;o,3449,ATTACKAIRHI,32_00
33;o,3449,ATTACKAIRHI,33,00
34;Oo,3449,ATTACKAIRHI,34,_o00
35;o,3449,ATTACKAIRHI,3S_o00
36;o,3449,ATTACKAIRHI,3b_,00
37;Oo,3449,ATTACKAIRHI,37,00
38;o,3449,ATTACKAIRHI,38_00
