frame;text
1;
2;
3;O,373,_oo
4;o,373,Ye,_oo
5;O,373,_oo
6;O,373,_oo
7;O,373,_oo
8;o,373,315,_oo
9;O,373,_oo
10;oO,373,31S,10,00
11;O,373,oo
12;oO,373,31S,12,00
13;oO,373,31S,13,00
14;oO,373,31S,14,00
15;oO,373,31S,1S_o00
16;oO,373,31S,1b,,00
17;oO,373,31S,17,00
18;oO,373,31S,18,00
19;oO,373,31S,19,00
20;O,373,315,20,00
21;O,373,el,_oo
22;O,373,315,e2_.oo
23;O,373,315,23,00
24;oO,373,31S,24,00
25;O,373,315,25,00
26;O,373,315,2b_00
27;oO,373,31S,27,00
28;O,373,315,28,00
29;oO,373,31S,29_00
30;O,373,315,30,00
31;O,373,31,_oo
32;O,373,315,32,00
33;O,373,315,33,00
34;oO,373,31S,34,oo
35;O,373,315,35,00
36;O,373,315,3b,_00
37;oO,373,31S,37,00
38;O,373,315,38,00
