frame;text
1;oO,352,303,oo
2;oO,352,303
3;oO,352,303,3,00
4;oO,352,303,4,_O00
5;oO,352,303,s_,oo
6;oO,352,303,b_oOOo
7;oo,303,oO,352
8;oO,352,303
9;oO,352,303,_oo
10;oO,352,303,10,00
11;oO,352,303,oo
12;oO,352,303,12,00
13;oO,352,303,13,00
14;oO,352,303,14,00
15;oO,352,303,15,00
16;Oo,353,304
17;Oo,353,304,oo
18;Oo,353,304
19;Oo,353,304
20;Oo,353,304,_oo
21;Oo,353,304
22;Oo,353,304,_oo
23;Oo,353,304
24;Oo,353,oo
25;Oo,353
26;Oo,353,304
27;Oo,353,304,_oo
28;Oo,353,304
29;Oo,353,304,_oo
30;Oo,353
31;Oo,353,304
32;Oo,353,304
33;Oo,353,304
34;Oo,353,304,_oo
35;Oo,353,304
36;Oo,353,304,_oo
37;Oo,353,304
38;Oo,353,304,oo
39;Oo,353,304
40;Oo,353,304
41;Oo,353,304,_oo
42;Oo,353,304,_oo
43;Oo,353,304,ba,_oo
44;Oo,353,304,«d
45;Oo,353,304,ad,oo
46;
47;Oo,354,30S
48;Oo,354,30S,_oo
49;Oo,354,30S
50;Oo,354,30S,_oo
51;Oo,354,30S
52;Oo,354,30S,oo
53;Oo,354,30S
54;Oo,354,30S
55;Oo,354,30S,_oo
56;Oo,3494,300
57;o,350,301,_oo
58;o,350,301
59;o,350,301,oo
60;o,350,301
61;o,350,301
62;o,350,301,_oo
63;o,350,301
64;o,350,301,_oo
65;o,350,301
66;o,350,301,oo
67;o,350,301
68;o,350,301
69;o,350,301,_oo
70;oO,35!,302
71;oO,35!,302,oo
72;oO,35!,302
73;oO,35!,302
74;oO,35!,302,_oo
75;oO,35!,302
76;oO,35!,302,_oo
77;oO,35!,302,_oo
78;oO,35!,302
79;oO,3s!,302,94,00
80;oO,3s!,302,10,00
81;oO,35!,302,oo
82;oO,3s!,302,12,00
83;oO,3s!,302,13,00
84;
85;
86;oO,3s!,302,1b,00,*~¢
87;oO,3s!,302,17,00
88;oO,3s!,302,16,00
89;oO,3s!,302,19,00
90;oO,3s!,302,20,00
91;oO,35!,302,el,_oo
92;oO,3s!,302,e2_.oo
93;oO,3s!,302,23,00
94;oO,3s!,302,e+,oo
95;oO,3s!,302,25,00
96;oO,3s!,302,2b_00
97;oO,3s!,302,27,00
98;oO,3s!,302,28,00
99;oO,3s!,302,29,00
100;oO,3s!,302,30,00
101;oO,35!,302,31,_oo
102;oO,3s!,302,32,00
103;oO,3s!,302,33,00
104;oO,3s!,302,34,O00
105;oO,3s!,302,35,00
106;oO,3s!,302,3b,_00
107;oO,3s!,302,37,00
108;oO,3s!,302,38,00
