frame;text
1;Oo,357,308,oo,LR
2;Oo,357,308,LR
3;Oo,357,308,LR
4;Oo,357,308,_oo,LR
5;Oo,357,308,LR
6;Oo,357,308,_oo,LR
7;Oo,357,308,_oo,LR
8;Oo,357,308,LR
9;Oo,357,308,_oo,LR
10;Oo,357,308,10,00,LR
11;Oo,357,308,11.00,LR
12;Oo,357,308,12,00,LR
13;Oo,357,308,13,00,LR
14;oO,357,308,14,00,LR
15;Oo,357,308,15,00,LR
16;Oo,357,308,1b,00,LR
17;oO,357,308,17,00,LR
18;Oo,357,308,16,00,LR
19;oO,357,308,19.00,LR
20;Oo,357,308,20,00,LR
21;Oo,357,308,21,00,LR
22;Oo,357,308,e2_.oo,LR
23;Oo,357,308,23,00,LR
24;Oo,357,308,e4,oo,LR
25;Oo,357,308,25,00,LR
26;Oo,357,308,2b_00,LR
27;Oo,357,308,27,00,LR
28;Oo,357,308,28,00,LR
29;Oo,357,308,29,00,LR
30;Oo,357
31;Oo,357,308,31,00,LR
32;Oo,357,308,32,00,LR
33;oO,357,33,00,LR
34;oO,357,34.00,LR
35;
36;Oo,357,308,3b,_00,LR
37;Oo,357,308,37,00,LR
38;Oo,357,308,38,00,LR
39;Oo,357,308,39,00,LR
40;Oo,357,308,40,00,LR
41;Oo,357,308,41,00,LR
42;Oo,357,308,42,00,LR
43;Oo,357,308,43,00,LR
44;oO,357,308,44,00,LR
45;Oo,357,308,4+S_00,LR
46;Oo,357,308,+b_OO,LR
47;oO,357,308,47,00,LR
48;Oo,357,308,46,00,LR
49;oO,357,308,49,00,LR
50;Oo,357,308,so_.o00,LR
51;Oo,357,308,s!1.00,LR
52;Oo,357,308,se_oo,LR
53;Oo,357,308,$3,000,LR
54;Oo,357,308,s4¥_o0o,LR
55;Oo,357,308,ss_oo,LR
56;Oo,357,308,Sb_oOo,LR
57;Oo,357,308,s7_o00,LR
58;Oo,357,308,s6_.o00,LR
59;Oo,357,308,$900,LR
60;Oo,357,308,bO_oOO0,LR
61;Oo,357,308,b!I,o00,LR
62;Oo,357,308,be,_oo,LR
63;Oo,357,308,63,00,LR
64;Oo,357,308,bY,OO,LR
65;Oo,357,308,bS_oOo,LR
66;Oo,357,308,bb,_OO,LR
67;Oo,357,308,b7?_OO0,LR
68;Oo,357,308,be,oOo,LR
