frame;text
1;O,ATTACKDASH,ATTACKDASH,oo
2;O,ATTACKDASH,ATTACKDASH
3;O,ATTACKDASH,ATTACKDASH
4;O,ATTACKDASH,ATTACKDASH,_oo
5;O,ATTACKDASH,ATTACKDASH
6;O,ATTACKDASH,ATTACKDASH,_oo
7;O,ATTACKDASH,ATTACKDASH,_oo
8;O,ATTACKDASH,ATTACKDASH
9;O,ATTACKDASH,ATTACKDASH,_oo
10;O,ATTACKDASH,ATTACKDASH,10,00,et,2B
11;O,ATTACKDASH,ATTACKDASH
12;O,ATTACKDASH,ATTACKDASH,12,00
13;oo"e!,HSVdaDVLIV,HSvdxaovLiv,O
14;oo"!,HSvd>>VLLIV,HSvdyovilv,O
15;oo"s!,HSVdaDVLIV,HSvdxaovLiv,O
16;O,ATTACKDASH,ATTACKDASH,Ib_O0
17;O,ATTACKDASH,ATTACKDASH,17,00
18;O,ATTACKDASH,ATTACKDASH,18,00
19;O,ATTACKDASH,ATTACKDASH,19,00
20;oo"oe,HS,Vda,9DVLIV,HSvdxaovLiv,O
21;O,ATTACKDASH,ATTACKDASH,21,00
22;1,oo"ze,HS,Vda,9DVLIV,HSvdxaovLiv,O
23;O,ATTACKDASH,ATTACKDASH,23,00,T
24;O,ATTACKDASH,ATTACKDASH,e4,oo,T
25;1,oo"sa,HS,Vda,9DVLIV,HSvdxaovLiv,O
26;oo,"92,HS,Vda,DVLLIV,HSvdyovilv,O
27;oo"2ea,HS,Vda,9DVLIV,HSvdxaovLiv,O
28;oo"B2,HS,Vda,9DVLIV,HSvdxaovLiv,O
29;O,ATTACKDASH,ATTACKDASH,29,00
30;O,ATTACKDASH,ATTACKDASH,30,00
31;O,ATTACKDASH,ATTACKDASH,31,_oo
32;O,ATTACKDASH,ATTACKDASH,32,00
33;O,ATTACKDASH,ATTACKDASH,33,00
34;O,ATTACKDASH,ATTACKDASH,3400
35;O,ATTACKDASH,ATTACKDASH,3s_o00
36;O,ATTACKDASH,ATTACKDASH,3b,_00
37;O,ATTACKDASH,ATTACKDASH,37,00
38;O,ATTACKDASH,ATTACKDASH,38,00
39;O,ATTACKDASH,ATTACKDASH,39,00
40;O,WALKSLOW,WALKSLOW,oo
