frame;text
1;O,3b?,oo,LR
2;O,3b?,LR
3;O,3b?,LR
4;O,3b?,_oo,LR
5;O,3b7,318,s_oo,LR
6;O,3b7,318,b_oo,LR
7;
8;O,3b?,i,LR
9;O,3b?,_oo,LR
10;O,3b8,LR
11;O,3b8,oo,LR
12;O,3b8,LR
13;O,3b8,LR
14;O,3b8,_oo,LR
15;O,3b8,LR
16;O,3b8,LR
17;LR,_oo,319,O,3b8
18;O,3b8
19;O,3b8,_oo,LR
20;
21;0,3be8,314,11,00,LR
22;
23;0,3be8,314,13,00,LR
24;
25;0,3be8,314,15,00,LR
26;O,3b8
27;O,3be8,319,17,00,LR
28;0,3be8,314,18,00,LR
29;O,3be8,319,19,00,LR
30;
31;
32;LR,oo,O,3b8
33;O,3b8,LR
34;O,3b8
35;O,3b8,LR
36;O,3b8
37;O,3b8,_oo,LR
38;O,3b8
39;O,3b8,_oo,LR
40;Oo,370,32!,LR
41;Oo,370,32!,oo,LR
42;Oo,370,32!,LR
43;Oo,370,32!,LR
44;Oo,370,32!,_oo,LR
45;Oo,370,32!,LR
46;Oo,370,32!,_oo,LR
47;Oo,370,32!,_oo,LR
48;Oo,370,32!,LR
49;Oo,370,32!,_oo,LR
50;0,370,321,10,00,LR
51;Oo,370,32!,11.00,LR
52;0,370,321,12,00,LR
53;0,370,321,13,00,LR
54;0,370,321,14,00,LR
55;0,370,321,15,00,LR
56;0,370,321,1b,00,LR
57;0,370,321,17,00,LR
58;0,370,321,18,00,LR
