frame;text
1;oO,34S,ATTACKLW4,oo
2;oO,34S,ATTACKLW4,oo
3;oO,34S,ATTACKLW4
4;oO,34S,ATTACKLW4
5;oO,34S,ATTACKLW4,_oo
6;oO,34S,ATTACKLW4
7;oO,34S,ATTACKLW4,_oo
8;oO,34S,ATTACKLW4,_oo
9;oO,34S,ATTACKLW4
10;oO,34S,ATTACKLW4,_oo
11;oO,34s,ATTACKLWY,10,00
12;oO,34S,ATTACKLW4,oo,L
13;oO,34s,ATTACKLUW4,12,00
14;oO,34s,ATTACKLUW4,13,00
15;oO,34S,ATTACKLW4,14,00,L
16;oO,34s,ATTACKLUW4,1S_o00
17;oO,34S,ATTACKLW4,1b,,00,L
18;oO,34S,ATTACKLW4,17,00,L
19;oO,34s,ATTACKLUW4,18,00
20;oO,34S,ATTACKLW4,19,00,L
21;oO,34s,ATTACKLUW4,20_00
22;oO,34S,ATTACKLW4,el,_oo,L
23;oO,34s,ATTACKLUW4,22_00
24;oO,34s,ATTACKLUW4,23_00
25;oO,34S,ATTACKLW4,24,00,L
26;oO,34s,ATTACKLUW4,2s_o0
27;oO,34S,ATTACKLW4,2b_00,L
28;oO,34S,ATTACKLW4,27,00,L
29;oO,34s,ATTACKLUW4,28_00
30;oO,34S,ATTACKLW4,29_00,L
31;oO,34s,ATTACKLUW4,30,00
32;oO,34S,ATTACKLW4,31,_oo,L
33;oO,34s,ATTACKLWY,32,00
34;oO,34s,ATTACKLWY,33,00
35;oO,34S,ATTACKLW4,34,oo,L
36;oO,34s,ATTACKLWY,3s_o00
37;oO,34S,ATTACKLW4,3b,,00,L
38;oO,34S,ATTACKLW4,37,00,L
39;oO,34s,ATTACKLWY,38,00
40;oO,34S,ATTACKLW4,39,00,L
41;oO,34s,ATTACKLWY,40_00
42;oO,34S,ATTACKLW4,4!,oo,L
43;oO,34s,ATTACKLWY,42_00
44;oO,34s,ATTACKLWY,43,00
45;oO,34S,ATTACKLW4,4400,L
46;oO,34s,ATTACKLWY,4S_00
47;oO,34S,ATTACKLW4,4b_00,L
48;oO,34S,ATTACKLW4,47,00,L
49;oO,34s,ATTACKLWY,48_00
50;oO,34S,ATTACKLW4,4900,L
51;oO,34s,ATTACKLWY,so_oo
52;oO,34S,ATTACKLW4,si,_oo,L
53;oO,34s,ATTACKLUW4,s2_o00
54;oO,34S,ATTACKLW4,$3,000
55;oO,34S,ATTACKLW4,s4¥_o00,L
56;oO,34S,ATTACKLW4,ss_oo
57;oO,34S,ATTACKLW4,>,®,Sb_oo,L
58;oO,34S,ATTACKLW4,s?7_00,L
59;oO,34s,ATTACKLWY,se_oo
60;oO,34S,ATTACKLW4,s9_o00,L
