frame;text
1;oO,34!,ATTACKS4S,oo
2;oO,34!,ATTACKS4S,oo
3;oO,34!,ATTACKS4S
4;oO,34!,ATTACKS4S
5;oO,34!,ATTACKS4S,_oo
6;oO,34!,ATTACKS4S
7;oO,34!,ATTACKS4S,_oo
8;oO,34!,ATTACKS4S,_oo
9;oO,34!,ATTACKS4S
10;oO,34!,ATTACKS4S,_oo
11;oO,34!,ATTACKS4S,10,00
12;oO,34!,ATTACKS4S,oo
13;oO,34!,ATTACKS4S,12,00
14;oO,34!,ATTACKS4S,13,00
15;oO,34!,ATTACKS4S,14,00,L
16;oO,34!,ATTACKS4#S,1S,00
17;oO,34!,ATTACKS4S,1b,,00,L
18;oO,34!,ATTACKS4S,17,00,L
19;oO,34!,ATTACKS4#S,18,00
20;oO,34!,ATTACKS4S,19,00,L
21;oO,341,ATTACKS4S,20_00
22;oO,34!,ATTACKS4S,21,00,L
23;4,oo"ze,ShSADVLIV,IhE,O
24;oO,34!,ATTACKS4S,23_00,L
25;oO,34!,ATTACKS4S,24,00,L
26;oO,341,ATTACKS4S,2s_o0
27;oO,34!,ATTACKS4S,2b_00,L
28;oO,34!,ATTACKS4S,27,00,L
29;oO,341,ATTACKS4S,28_00
30;oO,34!,ATTACKS4S,29_00,L
31;oO,341,ATTACKS4S,30,00
32;oO,34!,ATTACKS4S,31,_oo,L
33;oO,341,ATTACKS4S,32,00
34;oO,341,ATTACKS4S,33,00
35;oO,34!,ATTACKS4S,34,oo,L
36;oO,341,ATTACKS4S,3s_o00
37;oO,34!,ATTACKS4S,3b,,00,L
38;oO,34!,ATTACKS4S,37,00,L
39;oO,341,ATTACKS4S,38,00
40;oO,34!,ATTACKS4S,39,00,L
41;oO,34!,ATTACKS4#S,40,00
42;oO,34!,ATTACKS4#S,4!,oo,L
43;oO,34!,ATTACKS4#S,42,00
44;oO,34!,ATTACKS4#S,43,00
45;oO,34!,ATTACKS4#S,4400,L
46;oO,34!,ATTACKS4#S,45,00
47;oO,34!,ATTACKS4#S,4b_00,L
48;oO,34!,ATTACKS4#S,47,00,L
