frame;text
1;O,ATTACKSAS,ATTACKS3S,oo
2;O,ATTACKSAS,ATTACKS3S
3;O,ATTACKSAS,ATTACKS3S
4;O,ATTACKSAS,ATTACKS3S,_oo
5;O,ATTACKSAS,ATTACKS3S
6;O,ATTACKSAS,ATTACKS3S,_oo
7;O,ATTACKSAS,ATTACKSAS,_oo
8;O,ATTACKSAS,ATTACKSAS
9;O,ATTACKSAS,ATTACKSAS,_oo
10;O,ATTACKSAS,ATTACKSAS,10,00
11;O,ATTACKSAS,ATTACKSAS,oo
12;O,ATTACKSAS,ATTACKS3S,12,00
13;O,ATTACKSAS,ATTACKS3S,13,00
14;O,ATTACKSAS,ATTACKSAS,14,00
15;O,ATTACKSAS,ATTACKS3S,15,00
16;O,ATTACKSAS,ATTACKS3S,1b,00
17;O,ATTACKSAS,ATTACKS3S,17,00
18;O,ATTACKSAS,ATTACKS3S,16,00
19;O,ATTACKSAS,ATTACKS3S,19,00
20;O,ATTACKSAS,ATTACKS3S,20,00
21;O,ATTACKSAS,ATTACKS3S,el,_oo
22;O,ATTACKSAS,ATTACKS3S,e2_.oo
23;O,ATTACKSAS,ATTACKS3S,23,00
24;O,ATTACKSAS,ATTACKSAS,24,00
25;O,ATTACKSAS,ATTACKS3S,25,00
26;O,ATTACKSAS,ATTACKS3S,2b_00
27;O,ATTACKSAS,ATTACKS3S,e7,00
28;O,ATTACKSAS,ATTACKS3S,28,00
29;O,ATTACKSAS,ATTACKS3S,29,00
30;O,ATTACKSAS,ATTACKS3S,30,00
31;O,ATTACKSAS,ATTACKS3S,31,_oo
32;O,ATTACKSAS,ATTACKS3S,32,00
33;O,ATTACKSAS,ATTACKS3S,33,00
