frame;text
1;O,ATTACKAIRN,ATTACKAIRN,oo
2;O,ATTACKAIRN,ATTACKAIRN
3;O,ATTACKAIRN,ATTACKAIRN
4;O,ATTACKAIRN,ATTACKAIRN,_oo
5;O,ATTACKAIRN,ATTACKAIRN
6;O,ATTACKAIRN,ATTACKAIRN,_oo
7;O,ATTACKAIRN,ATTACKAIRN,_oo
8;O,ATTACKAIRN,ATTACKAIRN
9;O,ATTACKAIRN,ATTACKAIRN,_oo
10;O,ATTACKAIRN,ATTACKAIRN,10,00
11;O,ATTACKAIRN,ATTACKAIRN,oo
12;O,ATTACKAIRN,ATTACKAIRN,12,00
13;O,ATTACKAIRN,ATTACKAIRN,13,00
14;O,ATTACKAIRN,ATTACKAIRN,14,00
15;O,ATTACKAIRN,ATTACKAIRN,1S_.o00
16;O,ATTACKAIRN,ATTACKAIRN,1b,00
17;O,ATTACKAIRN,ATTACKAIRN,17,00
18;O,ATTACKAIRN,ATTACKAIRN,18,00
19;O,ATTACKAIRN,ATTACKAIRN,19,00
20;oo"oe,NY,LVAIDVLLV,NMYIVaADVLIV,Oo
21;O,ATTACKAIRN,ATTACKAIRN,el,_oo
22;oo"ze,NY,LVAIDVLLV,NMYIVaADVLIV,Oo
23;oo"cea,NY,LVAIDVLLV,NMYIVaADVLIV,Oo
24;O,ATTACKAIRN,ATTACKAIRN,e4,oo
25;O,ATTACKAIRN,ATTACKAIRN,25,00
26;O,ATTACKAIRN,ATTACKAIRN,2b_00
27;O,ATTACKAIRN,ATTACKAIRN,e7,00
28;O,ATTACKAIRN,ATTACKAIRN,28,00
29;O,ATTACKAIRN,ATTACKAIRN,29,00
30;O,ATTACKAIRN,ATTACKAIRN,30,00
31;O,ATTACKAIRN,ATTACKAIRN,31,_oo
32;O,ATTACKAIRN,ATTACKAIRN,32,00
33;O,ATTACKAIRN,ATTACKAIRN,33,00
34;O,ATTACKAIRN,ATTACKAIRN,34,_o00
35;O,ATTACKAIRN,ATTACKAIRN,35,00
36;O,ATTACKAIRN,ATTACKAIRN,3b,_00
37;O,ATTACKAIRN,ATTACKAIRN,37,00
38;O,ATTACKAIRN,ATTACKAIRN,38,00
