frame;text
1;Oo,348,2a9,oo
2;Oo,348,2a9
3;oO,348,299,3.00
4;oO,348,299,4_o0
5;oO,348,299,s_oo
6;oo,2a9,Oo,348
7;oo,Oo,348
8;oO,348,299,8,00
9;Oo,348,2a9,_oo
10;oO,348,299,10,00
11;Oo,348,2a9,oo
12;oO,348,299,12,00
13;oO,348,299,13,00
14;oO,348,299,14,00
15;oO,348,299,1S_o00
16;Oo,3494,300
17;Oo,3494,300,oo
18;Oo,3494,300
19;Oo,3494,300
20;Oo,3494,300,_oo
21;Oo,3494,300
22;Oo,3494,300,_oo
23;Oo,3494,300
24;Oo,3494,300,oo
25;Oo,3494,300
26;Oo,3494,300
27;Oo,3494,_oo
28;
29;Oo,3494,300,_oo
30;
31;Oo,3494,oo
32;Oo,3494,300
33;Oo,3494,300
34;Oo,3494,300,_oo
35;Oo,3494,300
36;Oo,3494,300,_oo
37;Oo,3494,300
38;Oo,3494,300,oo
39;Oo,3494,300
40;Oo,3494,300
41;Oo,3494,300,_oo
42;Oo,3494,300
43;Oo,3494,300,_oo
44;Oo,3494,300
45;Oo,3494,300,oo
46;o,350
47;o,350,301
48;o,350,oo
49;o,350,301
50;o,350,301,_oo
51;
52;
53;o,350,301
54;o,350,301
55;o,350,301,_oo
56;o,350,301
57;o,350,301,_oo
58;o,350,301
59;o,350,301,oo
60;o,350,301
61;o,350,301
62;o,350,301,_oo
63;o,350,301
64;o,350,301,.oo
65;o,350
66;
67;
68;o,350,301
69;o,350,301
70;oO,35!,302
71;oO,35!,302,oo
72;oO,35!,.oo
73;oO,35!,302
74;
75;oO,35!,302
76;
77;oO,35!,302,.oo
78;
79;
80;
81;
82;
83;
84;
85;
86;
87;oO,3s!,302,©,al,17,00
88;oO,3s!,302,16,00
89;oO,3s!,302,4,19,00
90;J,oO,3s!,302,!,20,00
91;oO,35!,302,el,_oo
92;oO,3s!,302,e2_.oo
93;o,3s!,302,bcs
94;oO,3s!,302,e+,oo
95;oO,3s!,302,25,00
96;oO,3s!,302,2b_00
97;oO,3s!,302,27,00
98;oO,3s!,302,28,00
99;oO,3s!,302,29,00
100;oO,3s!,302,30,00
101;oO,35!,302,31,_oo
102;oO,3s!,302,32,00
103;oO,3s!,302,33,00
104;oO,3s!,302,34,O00
105;oO,3s!,302,35,00
106;oO,3s!,302,3b,_00
107;oO,3s!,302,37,00
108;oO,3s!,302,38,00
